,retweet_count,favorite_count
0,11,111
1,46,169
2,10,49
3,1,8
4,10,83
5,16,85
6,10,92
7,20,158
8,85,403
9,43,126
10,473,934
11,42,292
12,71,426
13,18,96
14,9,69
15,9,56
16,8,62
17,19,84
18,12,77
19,46,256
20,222,615
21,18,104
22,15,79
23,49,136
24,24,145
25,55,181
26,29,109
27,18,86
28,16,136
29,9,74
30,13,66
31,17,68
32,13,108
33,8,54
34,27,159
35,24,123
36,22,95
37,24,140
38,10,105
39,26,150
40,17,0
41,33,124
42,12,65
43,12,101
44,23,121
45,7,94
46,17,59
47,12,87
48,6,44
49,7,46
50,13,71
51,7,59
52,11,72
53,10,85
54,0,1
55,20,153
56,17,112
57,6,58
58,11,50
59,9,87
60,22,136
61,24,167
62,39,179
63,9,59
64,24,125
65,19,130
66,49,330
67,25,183
68,16,96
69,23,107
70,55,240
71,25,170
72,238,0
73,13,111
74,26,202
75,13,82
76,16,81
77,33,0
78,16,0
79,23,166
80,13,119
81,12,103
82,59,314
83,96,238
84,18,125
85,8,0
86,3,4
87,586,1387
88,19,100
89,45,208
90,14,0
91,29,190
92,40,197
93,23,122
94,21,101
95,18,152
96,32,148
97,25,130
98,16,113
99,20,100
100,13,71
101,28,107
102,17,110
103,9,96
104,25,124
105,17,77
106,20,166
107,19,129
108,53,196
109,19,150
110,62,0
111,40,0
112,92,448
113,40,145
114,71,220
115,48,206
116,70,193
117,47,70
118,10,81
119,20,125
120,6,59
121,10,85
122,45,192
123,14,70
124,16,109
125,17,124
126,305,1828
127,5,0
128,22,86
129,25,146
130,25,0
131,23,150
132,18,120
133,16,118
134,43,352
135,5,11
136,12,80
137,27,198
138,23,111
139,8,0
140,1,4
141,94,143
142,78,0
143,14,0
144,3,0
145,10,45
146,0,2
147,0,1
148,66,636
149,38,164
150,2,3
151,31,144
152,47,127
153,30,229
154,35,160
155,17,112
156,38,191
157,57,219
158,44,146
159,2,4
160,14,83
161,46,178
162,16,95
163,38,172
164,28,146
165,65,279
166,19,111
167,55,230
168,16,79
169,20,85
170,21,79
171,33,142
172,1,2
173,15,76
174,24,125
175,11,78
176,15,103
177,30,0
178,29,142
179,8,60
180,26,155
181,19,183
182,104,449
183,11,84
184,15,122
185,11,110
186,28,160
187,21,170
188,233,0
189,142,754
190,15,109
191,13,85
192,42,275
193,17,119
194,103,0
195,28,98
196,26,167
197,14,90
198,50,282
199,148,503
0,149,549
1,22,187
2,30,242
3,29,209
4,33,208
5,16,152
6,22,98
7,42,200
8,22,190
9,31,132
10,39,133
11,68,311
12,15,110
13,76,0
14,22,90
15,1,7
16,22,115
17,21,90
18,27,98
19,366,2122
20,17,125
21,109,344
22,24,169
23,23,98
24,15,139
25,25,207
26,63,251
27,25,215
28,24,107
29,20,127
30,64,290
31,25,107
32,39,146
33,22,90
34,24,108
35,17,71
36,137,306
37,22,118
38,15,103
39,14,93
40,23,130
41,23,178
42,3,10
43,18,96
44,23,144
45,15,116
46,47,192
47,12,76
48,15,86
49,33,0
50,25,112
51,30,254
52,21,146
53,29,141
54,22,105
55,31,131
56,2,7
57,16,86
58,21,94
59,26,102
60,19,108
61,41,230
62,41,178
63,54,180
64,25,150
65,24,115
66,17,87
67,40,122
68,32,144
69,19,100
70,113,342
71,15,87
72,3,9
73,439,1010
74,15,0
75,119,0
76,23,86
77,16,126
78,49,212
79,42,155
80,13,0
81,15,0
82,33,152
83,15,95
84,24,150
85,115,465
86,56,237
87,23,131
88,12,76
89,26,141
90,23,100
91,25,95
