,retweet_count,favorite_count
0,14,98
1,17300,0
2,56,0
3,81,0
4,53,211
5,10,0
6,80,0
7,6,29
8,509,0
9,51,185
10,7,31
11,6,28
12,17,0
13,8,90
14,11,38
15,167,0
16,258,0
17,5,33
18,33,189
19,66,0
20,2,46
21,313,1117
22,30,195
23,306,1676
24,13,85
25,44,192
26,67,496
27,61,801
28,25,0
29,11,40
30,27,184
31,11,137
32,4,10
33,34,212
34,33,261
35,10,59
36,27,0
37,11,0
38,16,177
39,5,0
40,6,23
41,4,40
42,48,0
43,18,170
44,10,60
45,4,32
46,30,238
47,29,105
48,20,110
49,45,258
50,7,0
51,11,93
52,2,32
53,14,123
54,211,0
55,15,76
56,6,41
57,43,0
58,2,21
59,5,0
60,39,239
61,26,96
62,64,310
63,32,0
64,286,1068
65,15,168
66,26,220
67,6073,0
68,22,0
69,61,392
70,44,388
71,54,405
72,38,167
73,14,102
74,7,60
75,3,31
76,9,51
77,1,2
78,15,213
79,2,20
80,5,73
81,22,0
82,2475,10872
83,24,210
84,4,31
85,7,51
86,6,30
87,5,0
88,4,27
89,48,350
90,17,77
91,5,30
92,37,156
93,33,0
94,6,35
95,29,0
96,5,59
97,9,54
98,239,788
99,15,86
100,4,17
101,4,24
102,195,0
103,5,33
104,22,161
105,6,63
106,13,0
107,129,0
108,33,0
109,116,387
110,18,73
111,8,37
112,26,147
113,3,16
114,8,50
115,17,0
116,22,0
117,11,101
118,2,15
119,5,46
120,19,97
121,105,341
122,5,35
123,21,0
124,8,29
125,23,139
126,100,679
127,13,98
128,35,109
129,26,189
130,14,72
131,7,0
132,30,201
133,45,425
134,31,125
135,20,211
136,4,49
137,16,40
138,46,298
139,14,75
140,92,1038
141,23,108
142,28,112
143,50,224
144,9,47
145,30,171
146,51,0
147,83,354
148,93,388
149,2,26
150,52,200
151,5,37
152,13,111
153,53,168
154,3,35
155,116,421
156,385,0
157,15,0
158,4,24
159,93,483
160,2,16
161,15,86
162,275,1101
163,15,69
164,37,0
165,43,243
166,78,282
167,7,79
168,6,29
169,69,473
170,6,28
171,35,284
172,18,206
173,4,28
174,26,129
175,18,91
176,64,356
