,retweet_count,favorite_count
0,2795,11006
1,427,0
2,275,974
3,964,0
4,386,1772
5,4754,0
6,10168,37917
7,13710,0
8,3451,14835
9,886,5573
10,654,0
11,2208,0
12,615,4586
13,747,2570
14,7307,0
15,2583,18375
16,2728,0
17,19208,52277
18,477,2341
19,540,0
20,323,0
21,12957,28280
22,1277,5353
23,1549,6754
24,939,3675
25,259,1854
26,585,2941
27,1436,6442
28,8112,20473
29,545,0
30,30603,74936
31,22100,53879
32,762,3169
33,4930,11059
34,499,2956
35,535,3053
36,1943,8134
37,3396,0
38,27551,65747
39,709,0
40,374,2948
41,6924,0
42,1949,6239
43,233,0
44,216,1092
45,7617,0
46,16797,0
47,17527,0
48,3874,10760
49,2137,4837
50,220,0
51,912,7577
52,11819,36607
53,1320,3703
54,1731,0
55,9450,0
56,3046,0
57,10248,30413
58,1311,5949
59,5183,13649
60,4088,9406
61,3055,6279
62,253,0
63,4092,8138
64,7765,17560
65,1423,0
66,4738,11165
67,5163,13892
68,1634,8615
69,733,5944
70,680,3392
71,1459,4875
72,2735,7409
73,1107,3903
74,1639,5448
75,6555,20040
76,31521,50657
77,8114,15034
78,355,2030
79,868,0
80,43406,81089
81,3529,9522
82,48686,87555
83,5604,9196
84,21955,0
85,2816,10169
86,681,2454
87,1982,5341
88,528,2931
89,376,1297
90,4557,11245
91,469,1869
92,484,1936
93,781,0
94,436,2282
95,10027,30442
96,11554,32666
97,15424,30150
98,1676,4046
99,1224,4350
100,480,1176
101,82583,0
102,1344,0
103,1218,4952
104,709,0
105,5307,0
106,13918,29728
107,1231,3541
108,580,2759
109,18630,51423
110,2553,0
111,2517,5921
112,1742,3992
113,4526,13817
114,566,2380
115,6905,12975
116,1323,0
117,1712,0
118,13780,25626
119,703,0
120,34236,69853
121,314,1239
122,1503,0
123,575,1950
124,16339,24949
125,401,1500
126,7496,0
127,6784,14142
128,4986,7638
129,686,2070
130,717,2796
131,9157,19536
132,207,1219
133,113,0
134,257,703
135,349,1275
136,995,4589
137,237,1044
138,10580,0
139,1212,3621
140,2117,5333
141,980,2658
142,235,976
143,2326,9624
144,1845,3797
145,222,1084
146,1011,2782
147,2416,0
148,366,1631
149,452,2701
150,1112,0
151,3998,9556
152,1453,6058
153,8682,24761
154,317,2275
155,10927,22539
156,429,1734
157,230,0
158,425,2024
159,511,0
160,542,2805
161,365,0
162,591,1409
163,596,1563
164,1948,4234
165,4128,0
166,216,0
167,44602,68144
168,15294,25509
169,360,0
170,58,0
171,42,0
172,35,0
173,23,0
174,39,0
175,24,0
176,25,0
177,19,0
178,52,0
179,128,0
180,58,0
181,44,0
182,145,0
183,91,0
184,659,0
185,118,0
186,4165,12444
187,284,0
188,31,0
189,1166,2764
190,504,1483
191,315,1357
192,3657,15664
193,21699,31540
194,3911,0
195,2307,7197
196,189,0
197,1400,3671
198,1017,3269
0,2324,9110
1,1091,3896
2,175,0
3,305,0
4,143,0
5,325,0
6,170,0
7,89,0
8,60,0
9,1063,0
10,53,0
11,176,0
12,174,0
13,150,0
14,80,0
15,120,0
16,62,0
17,77,0
18,235,0
19,94,0
20,5605,0
21,59,0
22,91,0
23,38,0
24,93,0
25,86,0
26,136,0
27,27,0
28,99,0
29,14,0
30,530,0
31,17,0
32,104,0
33,82,0
34,36,0
35,35,0
36,35,0
37,707,0
38,23,0
39,134,0
40,119,0
41,5605,9676
42,1477,0
43,408,1263
44,2387,13646
45,34077,67417
46,12379,29591
47,5328,0
48,573,0
49,354,1469
50,1997,10895
51,226,975
52,359,1397
53,331,1135
54,1634,8051
55,223,1043
56,622,2401
57,27625,48898
58,832,2920
59,4141,0
60,1763,0
61,3441,0
62,4289,0
63,8636,0
64,1290,0
65,1861,0
66,5399,0
67,68852,120439
68,309,0
