,retweet_count,favorite_count
0,127,1021
1,2,15
2,212,1328
3,313,0
4,310,0
5,449,0
6,328,1598
7,2297,10175
8,1511,7370
9,41,0
10,575,3025
11,1348,7333
12,1429,6880
13,514,0
14,574,2610
15,8172,0
16,331,2464
17,8172,22362
18,366,0
19,3634,0
20,206,1581
21,636,4162
22,64,518
23,1228,0
24,514,1953
25,1859,0
26,493,2369
27,500,1808
28,26020,99595
29,3249,0
30,7273,0
31,4705,8258
32,2189,6799
33,6170,16654
34,4648,12770
35,4123,9922
36,9642,19107
37,3657,11290
38,7819,0
39,8237,14713
40,22075,44474
41,4133,23487
42,7819,15917
43,16238,34277
44,8150,16182
45,4895,27049
46,4807,0
47,83733,150836
48,14506,25804
49,5923,17422
50,30125,58958
51,167,724
52,9271,0
53,7748,0
54,8364,0
55,8364,21306
56,21876,60416
57,4272,20774
58,22750,46048
59,1532,8756
60,229,1450
61,846,5759
62,12525,0
63,44378,102852
64,12525,43813
65,5703,0
66,6581,0
67,54,0
68,65,0
69,521,0
70,2222,0
71,1924,17992
72,5703,21222
73,1066,0
74,771,3264
75,3892,22473
76,1194,5180
77,166,1313
78,740,2932
79,409,4018
80,8383,27112
81,3510,15142
82,485,4882
83,2270,0
84,62,0
85,183,919
86,65,0
87,2323,10814
88,317,2218
89,562,0
90,1587,7390
91,15331,0
92,689,0
93,4372,11922
94,2270,5857
95,1842,4418
96,4784,12471
97,13040,37895
98,47947,0
99,4333,19293
100,6584,0
101,217,0
102,6584,23145
103,333,1753
104,319,0
105,3894,15546
106,1212,4002
107,26273,48208
108,59703,209938
109,24107,0
110,296,1458
111,24107,54802
112,7474,26554
113,3574,0
114,226,0
115,3574,8690
116,347,2334
117,4061,13664
118,1362,4210
119,713,2550
120,3015,15282
121,9641,33285
122,563,3089
123,33803,0
124,3406,11631
125,9492,0
126,14719,46217
127,126,550
128,483,2663
129,6579,0
130,1565,0
131,201,0
132,6579,23098
133,501,1841
134,5413,16122
135,532,0
136,764,3779
137,2077,0
138,2224,0
139,961,5130
140,2115,11751
141,1591,6295
142,759,0
143,175,1588
144,358,0
145,3109,16976
146,3328,13458
147,461,3233
148,29062,0
149,468,0
150,246,1676
151,5932,23844
152,950,6050
153,22352,0
154,566,3629
155,778,4172
156,5498,17909
157,2626,29077
158,1030,0
159,1275,0
160,527,0
161,4918,0
162,1275,4167
163,527,2722
164,217,0
165,112,0
166,33713,0
167,179,1417
168,3968,16171
169,118570,0
170,1009,0
171,2811,12537
172,1710,6086
173,2289,5942
174,1718170,0
175,2015,9313
176,369,0
177,5259,0
178,369,3582
179,1326,4993
180,647,0
181,1877,0
182,647,4607
183,6766,0
184,1098,5366
185,6766,18253
186,2930,8667
187,1908,0
188,1908,10178
189,749,4610
190,313,1839
191,2085,10078
192,466,3394
193,3958,21994
194,1537,8545
195,9685,23948
196,230,0
197,287,0
0,566,2288
1,403,0
2,1298,7420
3,524,1862
4,371,0
5,1711,9325
6,31482,0
7,274,0
8,1323,0
9,1314,5799
10,2190,0
11,791,3544
12,2190,11259
13,20976,0
14,570,3192
15,20976,75068
16,1103,4810
17,1305,5830
18,2701,9411
19,1034,5290
20,156,1430
21,221,1864
22,192,0
23,1423,11140
24,577,2751
25,14625,36426
26,313,1058
27,41502,122116
28,3819,0
29,3398,11145
30,242,0
31,209,0
32,388,0
33,94,0
34,1164,0
35,113,0
36,184,0
37,190,0
38,176,0
39,391,2531
40,716,2629
41,1374,7013
42,1618,6998
43,5752,23079
44,1273,5382
45,1392,4711
46,1016,2712
47,2223,6802
48,270,1097
49,2041,7686
50,706,3263
51,3304,18425
52,4422,0
53,2264,8775
54,2484,11569
55,1471,4300
56,1545,6811
57,880,4076
58,332,1311
59,6568,12725
60,76,0
61,320,0
62,1181,2574
63,1102,3597
64,208,968
65,1856,9765
66,1256,2668
67,1077,4593
68,33713,54154
69,741,3575
70,149,0
71,398,0
72,3730,13135
73,10532,18800
74,5138,9326
75,439,0
76,157,0
77,174,0
78,232,0
79,918,1482
80,867,3463
81,1200,3345
82,397,1121
83,114,0
84,111,0
85,112,0
86,122,0
87,108,0
88,557,3021
89,5124,13481
90,7060,12970
91,936,0
92,1133,2088
93,1906,6831
94,416,2119
95,1246,4524
96,197,0
97,1656,9767
98,5867,15111
99,256,0
100,51273,68730
101,2206,9373
102,458,1339
103,617,0
104,555,3237
105,1543,5735
106,949,4068
107,143,627
108,2297,11109
109,2448,9509
110,449,3376
111,3585,11537
112,448,1469
113,554,2616
114,8176,27823
115,442,2124
116,1035,4407
117,163,1096
118,595,1730
119,1924,7312
120,2295,8841
121,1061,0
122,319,2045
123,419,2272
124,770,0
125,1546,7815
126,60,0
127,74,753
128,5591,15420
129,803,2884
130,289,1355
131,378,1965
132,45,0
133,302,1362
134,186,1645
135,71,687
136,39047,44636
137,640,2846
138,234,0
139,399,0
140,534,1478
141,171,0
142,744,3935
143,105,580
144,990,5693
145,52,0
146,96,767
147,1324,0
148,657,3813
149,12321,47237
150,1484,0
151,2295,0
152,9169,21584
153,125,0
154,1324,4695
155,811,4548
156,6526,0
157,346,2124
158,922,0
159,3447,0
160,1809,0
161,238,2060
162,242,0
163,116,0
164,2328,7493
165,24526,0
166,395,0
167,215,954
168,139,0
169,24526,36286
170,1147,0
171,1147,3096
172,2372,6921
173,41052,113815
174,208,953
175,126,649
176,544,4270
177,4091,15326
178,2648,7132
179,826,4356
180,1711,0
181,783,3496
182,1106,4545
183,42019,50262
184,3818,10267
185,1289,4787
186,86449,158994
187,455,0
188,18621,25728
189,470,0
190,455,2029
191,471,2693
192,582,3548
193,1053,4215
194,4072,0
195,318,1196
196,137,1297
0,4072,11768
1,5794,17520
2,256,0
3,17144,0
4,24897,0
5,988,5191
6,328,0
7,290,0
8,296,0
9,4456,15097
10,114,1481
11,515,3346
12,24389,0
13,194,1594
14,8387,0
15,1695,5980
16,8387,18530
17,24389,48618
18,488,1876
19,884,2566
20,978,0
21,909,4792
22,210,1349
23,226,1178
24,1020,0
25,1854,0
26,3550,11893
27,1557,6637
28,174,1382
29,397,1822
30,3523,12358
31,2671,7960
32,9436,0
33,6726,0
34,3337,13401
35,1138,4419
36,1558,4369
37,1784,4577
38,2845,6526
39,2702,7544
40,1626,0
41,779,3389
42,346,1524
43,1231,4457
44,382,1854
45,6726,12529
46,9436,23136
47,703,3051
48,426,2452
49,3046,9890
50,113,0
51,460,1920
52,761,4081
53,5356,16656
54,259,1113
55,964,3832
56,3365,9947
57,445,0
58,515,0
59,5074,0
60,5299,18190
61,3685,14604
62,16565,25950
63,859,4689
64,624,2335
65,9992,31108
66,5290,16540
67,16062,45172
68,7679,21718
69,2062,7402
70,6991,11968
71,1573,0
72,2466,7132
73,182,1041
74,248,1932
75,80,838
76,115,764
77,346,0
78,271,1514
79,1573,4984
80,1702,0
81,473,2953
82,1891,0
83,142,1385
84,259,1830
85,216,941
86,293,1360
87,113,728
88,118,819
89,269,1273
90,138,689
91,316,1678
92,91,559
93,179,920
94,143,956
95,201,1088
96,918,3570
97,387,1293
98,369,1445
99,137,855
100,187,965
101,375,1490
102,197,786
103,188,743
104,153,949
105,740,1900
106,2284,4319
107,906,2617
108,131,659
109,327,1073
110,140,744
111,286,1279
112,250,1018
113,238,948
114,114,613
115,1993,3530
116,125,911
117,311,1259
118,137,708
119,96,606
120,2993,6284
121,112,770
122,203,1152
123,48,321
124,147,609
125,155,914
126,67,521
127,60,396
128,224,1052
129,677,3233
130,1891,5637
131,3763,16851
132,928,0
133,245,1329
134,1850,3981
135,346,0
136,994,4825
137,1006,2717
138,529,0
139,738,0
140,240,1207
141,529,2446
142,738,5662
143,384,2055
144,980,4952
145,2636,8964
146,3796,0
147,389,1922
148,3796,11689
149,203,1092
150,452,2351
151,53991,88661
152,7014,0
153,10492,0
154,1040,0
155,311,0
156,804,4630
157,747,3955
158,4194,15570
159,320,1410
160,33324,40053
161,1197,2954
162,2801,5150
163,2132,7157
164,412,2434
165,15548,30683
166,14295,35831
167,30609,52500
168,14818,17986
169,1091,2402
170,9831,20042
171,658,2280
172,21007,53113
173,781,2676
174,3551,10782
175,1661,6333
176,1156,3992
177,331,1210
178,777,2518
179,237,1097
180,3351,5874
181,2606,6119
182,4528,0
183,151,821
184,4528,7701
185,727,3980
186,2491,5734
187,1685,4031
188,775,3042
189,172,951
190,1213,3474
191,145,0
192,476,1734
193,225,1191
194,748,3001
195,938,0
196,636,3911
197,1962,8960
198,35590,55259
199,275,0
0,1929,6566
1,225,1164
2,2322,0
3,3384,8309
4,7376,21817
5,2322,6700
6,195,0
7,5312,10355
8,5451,11722
9,4730,13026
10,429,0
11,218,858
12,18845,25071
13,977,0
14,266,0
15,10211,0
16,315,0
17,569,2693
18,348,954
19,382,936
20,1205,3751
21,17196,0
22,158,831
23,135,932
24,264,1373
25,1170,3602
26,3811,9226
27,3914,8146
28,14062,25431
29,1302,4460
30,1308,4188
31,35887,43099
32,5514,0
33,161,1003
34,253,1920
35,648,0
36,194,961
37,870,3821
38,225,1103
39,343761,0
40,333,0
41,30,0
42,95,594
43,938,1761
44,566,0
45,662,2040
46,336,0
47,67,0
48,289,0
49,37,0
50,336,1297
51,228,0
52,74,0
53,280,0
54,217,0
55,1580,2290
56,1853,7223
57,578,2621
58,325,1506
59,427,0
60,152,633
61,360,1522
62,319,1719
63,648,2351
64,17261,22759
65,921,4147
66,821,3998
67,2953,0
68,95,973
69,102,610
70,134,416
71,106,0
72,75,472
73,38,0
74,49,236
75,368,959
76,71,332
77,113,435
78,60,289
79,50,221
80,30,0
81,23,0
82,27,0
83,23,0
84,2822,6209
85,106,517
86,4483,0
87,291,0
88,467,0
89,165,749
90,41,233
91,129,1267
92,145,0
93,73,432
94,305,1038
95,67,364
96,365,1322
97,221,2088
98,507,1793
99,6501,12020
100,19,0
101,33,0
102,21,0
103,8,0
104,13,0
105,13,0
106,12,0
107,441,1122
108,879,2589
109,1166,4213
110,1507,2636
111,2082,4196
112,1335,0
113,8968,12709
114,116,0
115,1383,0
116,2802,6157
117,418,1892
118,318,1088
119,4483,8089
120,57,495
121,1335,3049
122,6416,15877
123,183,736
124,1395,2864
125,405,1894
126,1310,3919
127,8183,13882
128,619,2338
129,468,1154
130,169,716
131,344,1018
132,607,0
133,1383,1997
134,2784,6539
135,2065,4201
136,591,2076
137,586,2183
138,287,1388
139,46825,0
140,74,0
141,331,0
142,2337,5054
143,1111,3289
144,2856,5656
145,1374,4973
146,1719,2990
147,6001,0
148,46825,52550
149,361,1586
150,1224,3036
151,450,1191
152,11169,33132
153,53,510
154,77,517
155,166,770
156,199,752
157,837,3569
158,300,979
159,229,974
160,418,1654
161,131,0
162,209,985
163,73,0
164,79,397
165,166,510
166,405,0
167,35,0
168,76,0
169,2264,4294
170,376,1090
171,640,1818
172,2088,3405
173,7163,11353
174,20729,28212
175,6659,12845
176,132,626
177,3459,5237
178,2736,4520
179,147,0
180,317,1061
181,662,1975
182,1651,2606
183,258,714
184,1771,2565
185,454,2423
186,3060,5598
187,700,2008
188,345,1811
189,4274,0
190,370,980
191,219,0
192,233,0
193,292,0
194,283,587
195,4274,5799
196,175,0
0,658,0
1,849,1167
2,918,2308
3,431,1233
4,820,2101
5,2067,0
6,71,428
7,2906,0
8,2778,5012
9,13157,0
10,78,518
11,223,1108
12,622,1499
13,217,1055
14,402,0
15,512,1685
16,4094,6291
17,593,2100
18,1525,7262
19,23242,0
20,140,579
21,280,0
22,566,1790
23,652,2370
24,110,0
25,55,0
26,2042,6639
27,64,359
28,8954,0
29,3282,4349
30,91,402
31,97,512
32,101,366
33,462,1651
34,873,2031
35,966,2999
36,223,1110
37,3566,5414
38,248,863
39,6735,0
40,100,738
41,261,1094
42,167,666
43,200,541
44,70,0
45,761,0
46,151,595
47,249,802
48,100,366
49,97,473
50,307,907
51,47,314
52,79,381
53,43,198
54,1203,1529
55,221,749
56,180,592
57,69,329
58,56,224
59,39,248
60,87,450
61,2243,0
62,1986,5075
63,283,830
64,268,737
65,72,0
66,237,0
67,70,0
68,102,0
69,2513,6193
70,2919,5581
71,3961,7427
72,273,772
73,108,503
74,81,299
75,727,2562
76,74535,0
77,1314,0
78,78,0
79,117,472
80,142,0
81,160,0
82,78,327
83,698,0
84,535,2135
85,76,425
86,241,554
87,300,941
88,2361,5443
89,893,0
90,1314,2469
91,37480,0
92,17,84
93,1002,2164
94,3586,0
95,72,446
96,74,346
97,599,2447
98,511,1599
99,761,1876
100,114,0
101,94,389
102,3586,5808
103,129,0
104,233,0
105,1031,0
106,1859,0
107,1080,1513
