,retweet_count,favorite_count
0,148,1764
1,349,3429
2,1245,7602
3,4114,21580
4,29375,0
5,394,0
6,2,39
7,5,54
8,471,0
9,6856,0
10,431,0
11,58,0
12,641,8662
13,153,0
14,12489,89243
15,415,0
16,495,0
17,56,0
18,293,0
19,14,0
20,12,0
21,19,0
22,401,3155
23,1318,0
24,6886,27912
25,11313,65247
26,110,1507
27,297,0
28,101,0
29,78,0
30,40,0
31,166,1372
32,48,0
33,50219,103508
34,1,10
35,32082,0
36,25790,90489
37,174,0
38,151,3501
39,235,0
40,113,0
41,26,0
42,99,0
43,5214,0
44,32,0
45,3828,51425
46,142,1043
47,128,868
48,402,0
49,244,0
50,8645,43579
51,8191,52741
52,242,0
53,1,59
54,1240,0
55,2,57
56,1021,5268
57,481,0
58,24,0
59,3069,17280
60,15701,0
61,62,0
62,1362,0
63,535,15654
64,11458,0
65,1455,9090
66,2976,47406
67,5163,0
68,19560,157746
69,43002,249510
70,2627,11414
71,31544,114148
72,49,0
73,148,0
74,467,0
75,367,0
76,588,0
77,600,0
78,361,0
79,157,0
80,52,0
81,559,0
82,221,0
83,116,0
84,199,0
85,51,0
86,6756,0
87,294,0
88,193,0
89,1405,0
90,111,0
91,61,0
92,175,0
93,505,0
94,98586,0
95,232,0
96,576,0
97,338,0
98,126,0
99,101,0
100,107,0
101,475,0
102,2058,0
103,93,0
104,4282,26415
105,31,0
106,302,0
107,114,0
108,138,0
109,122,2067
110,2,18
111,93,0
112,298,0
113,79,0
114,546,5931
115,52,0
116,336,0
117,877,0
118,99,0
119,21,197
120,32291,0
121,20475,0
122,343,0
123,2,24
124,4,66
125,86,565
126,51924,0
127,9940,0
128,32291,131895
129,218,0
130,1334,0
131,1277,0
132,607,0
133,325,0
134,4356,0
135,330,3778
136,833,8058
137,149,0
138,49,2378
139,1304,9455
140,1,8
141,87546,0
142,3,25
143,59952,236861
144,1473,0
145,956,0
146,1122,0
147,1369,10322
148,10141,53486
149,14,44
150,112978,0
151,23593,109337
152,56,768
153,13555,0
154,4,19
155,601,5896
156,22762,120466
157,1354,0
158,1,13
159,310,2379
160,238,2747
161,4478,19135
162,3242,0
163,316,0
164,1,21
165,5,27
166,3370,14756
167,791,3403
168,1,24
169,654,2865
170,498,3188
171,928,5372
172,211,0
173,268,1151
174,284,0
175,1658,0
176,1785,0
177,9251,29567
178,2177,0
179,270,0
