,retweet_count,favorite_count
0,4243,19224
1,5015,25654
2,19096,45198
3,22061,58431
4,94806,176964
5,6189,0
6,18160,35995
7,8119,27178
8,9907,25473
9,9312,22338
10,5834,15334
11,23637,43407
12,23248,37908
13,2809,12035
14,2742,8093
15,3863,13227
16,27829,42168
17,4015,12805
18,5047,14373
19,5135,0
20,3540,0
21,2905,10031
22,4930,0
23,1996,6314
24,14584,32334
25,3921,9855
26,6850,0
27,5638,12077
28,6625,17947
29,15122,28695
30,13690,0
31,12851,29185
32,25798,46415
33,14024,30271
34,22427,41907
35,5442,0
36,19067,40456
37,96353,117393
38,20492,35659
39,70361,81549
40,233689,248329
41,25210,41984
42,15811,26465
43,78682,85132
44,14004,26463
45,142587,193466
46,5305,15977
47,4579,13580
48,5335,14572
49,5964,15532
50,11304,24368
51,170637,173756
52,24127,33095
53,23685,33907
54,2900,0
55,2759,0
56,15269,0
57,27590,0
58,4197,16009
59,99119,102275
60,31595,53369
61,30467,68053
62,18747,0
63,5411,12817
64,6389,16317
65,24480,36023
66,5787,18100
67,20372,38849
68,11334,19966
69,5342,0
70,25063,0
71,2969,11796
72,48254,63323
73,9150,0
74,5114,0
75,4042,0
76,37409,43929
77,26048,35973
78,15959,0
79,9273,0
80,6532,0
81,4696,0
82,141800,155685
83,114721,106245
84,12235,0
85,7644,0
86,5549,0
87,2349,0
88,129720,90873
89,7423,10994
90,5809,14651
91,10996,18554
92,2155,0
93,80313,73915
94,8580,0
95,183968,145434
96,13701,29967
97,2849,0
98,13030,17005
99,3177,7144
100,2171,0
101,3466,6497
102,4274,9752
103,11944,22696
104,6855,14233
105,5793,16326
106,4136,10961
107,26361,48403
108,100780,86494
109,14415,16229
110,20858,24996
111,2962,6867
112,1961,0
113,43779,42434
114,21362,25174
115,4918,0
116,86555,56878
117,10033,25534
118,53836,45349
119,5313,0
120,3917,8712
121,2270,4362
122,2286,5862
123,32214,44103
124,5196,9760
125,3262,6875
126,1496,3693
127,5828,8005
128,2834,6410
129,3054,4292
130,5065,6498
131,642,2177
132,4709,10009
133,619,0
134,3516,0
135,18585,22061
136,708,2351
137,4039,0
138,189669,122964
139,2797,0
140,5632,7255
141,1919,4180
142,35797,30892
143,2316,0
144,2106,0
145,3607,8194
146,108570,68857
147,4339,9480
148,23115,30829
149,23029,20973
150,13550,17606
151,3090,0
152,6915,0
153,986,0
154,2382,0
155,2966,4540
156,1415,2898
157,4982,11945
158,6506,12650
159,9044,14677
160,2740,0
161,32968,0
162,2586,5025
163,20978,20262
164,32042,31089
165,16222,17348
166,3634,0
167,3091,8696
168,4671,0
169,2801,5697
170,871,0
171,3579,0
172,3843,7818
173,4473,8133
174,1108,0
175,1120,0
176,4163,7286
177,4697,7023
178,3058,5395
179,1281,0
180,23397,28451
181,9668,12908
182,1361,0
183,878,0
184,3964,8635
185,15451,17926
186,3595,7271
187,1234,0
188,2763,0
189,1649,0
190,6092,8277
191,5575,9021
192,7651,0
193,8346,0
194,7181,12060
0,5601,6617
1,5623,10773
2,5882,0
3,3147,5151
4,2294,0
5,6886,11091
6,16682,17037
7,2081,0
8,4391,0
9,1239,0
10,5454,8189
11,3382,5114
12,2304,0
13,1658,0
14,3168,0
15,5576,5805
16,3268,6378
17,8155,10090
18,1398,2996
19,4568,0
20,3239,0
21,31324,28793
22,4127,7097
23,21643,33379
24,2543,0
25,12312,14774
26,9288,0
27,21079,18219
28,18945,17388
29,18343,17193
30,11070,13009
31,1670,0
32,7176,20782
33,5530,8363
34,3431,5293
35,1804,0
36,81258,53647
37,5604,8075
38,2334,5045
39,2288,0
40,22169,32889
41,27525,23974
42,1294,0
43,2095,0
44,20938,23541
45,1231,0
46,5199,8370
47,7723,10454
48,3037,0
49,23504,18594
50,9969,11665
51,2453,4583
52,8906,9308
53,8318,7958
54,9483,7043
55,7385,8894
56,42030,34591
57,12688,22107
58,12897,13942
59,1918,2724
60,5055,8375
61,1702,3903
62,13060,11212
63,4906,5331
64,2110,0
65,3249,4192
66,5982,4853
67,5335,6005
68,10275,10484
69,1662,0
70,2501,2975
71,1479,0
72,3083,0
73,34334,18732
74,10915,8068
75,1706,0
76,4215,3998
77,2958,0
78,5438,4656
79,2371,0
80,18021,11524
81,4988,4277
82,1336,2028
83,1688,0
84,12287,8429
85,7500,6830
86,15112,7647
87,14091,9174
88,3077,3313
89,27685,15749
90,3744,0
91,8100,8959
92,733,0
93,32844,15113
94,32548,15645
95,5843,0
96,1175,0
97,74310,36015
98,8339,7505
99,12058,7342
100,1694,2487
101,817,0
102,2823,3020
103,22568,11360
104,10838,9197
105,4668,0
106,1821,0
107,863,0
108,5301,5964
109,85286,42415
110,3061,3617
111,579,1238
112,2037,0
113,9354,12108
114,5758,7121
115,3698,4162
116,3307,0
117,1876,2637
118,1649,2013
119,1560,1945
120,2735,2429
121,13442,8334
122,13402,7399
123,19697,10171
124,23975,13798
125,29303,15012
126,2303,2513
127,514,0
128,1980,2079
129,1931,0
130,1128,1660
131,1186,1552
132,3661,3807
133,5257,4873
134,11528,8139
135,32111,17159
136,1483,1796
137,2254,2685
138,1138,0
139,2232,2758
140,4515,5210
141,3764,0
142,3409,0
143,1731,0
144,2824,2565
145,774,1115
146,775,1147
147,1756,1694
148,503,1065
149,1122,0
150,8759,7996
151,5492,5265
152,5422,4650
153,10761,6901
154,941,1122
155,1310,0
156,1655,1775
157,4705,0
158,4038,3530
159,1208,1358
160,5416,4721
161,10434,7614
162,43799,23071
163,949,1604
164,798,0
165,4840,6688
166,3869,4622
167,7631,6512
168,8355,0
169,38294,19667
170,1730,0
171,8905,7408
172,1653,1607
173,588,998
174,2118,0
175,7165,5650
176,10911,6874
177,1224,1687
178,4938,4089
179,13222,7926
180,10123,8376
181,5146,7490
182,777,0
183,474,940
184,659,1076
