,retweet_count,favorite_count
0,13,422
1,2,109
2,2,108
3,1,30
4,15,114
5,3,50
6,2,95
7,17,186
8,122,1529
9,2,23
10,0,8
11,4,62
12,16,221
13,3,73
14,1,83
15,354,1854
16,32,478
17,31,289
18,4,44
19,14,0
20,21,0
21,5,0
22,17,0
23,186,0
24,47,0
25,3,81
26,9,113
27,5,46
28,1,134
29,16,259
30,6,211
31,68,919
32,69,1244
33,0,1
34,0,17
35,17,241
36,2,72
37,2,119
38,1,11
39,0,3
40,248,527
41,2,54
42,57,1042
43,6,40
44,1,55
45,0,8
46,7,83
47,0,23
48,17,160
49,82,1174
50,0,1
51,0,0
52,1301,0
53,0,1
54,88,0
55,3,0
56,2,0
57,1548,0
58,54,511
59,98,576
60,32,225
61,67,835
62,12,326
63,10,187
64,122,1101
65,141,874
66,1,0
67,38,0
68,0,4
69,18,0
70,26,0
71,36,782
72,2,62
73,0,19
74,289,4100
75,8,181
76,89,1120
77,0,7
78,241,1232
79,0,72
80,47,471
81,33,255
82,0,4
83,0,2
84,0,0
85,0,0
86,0,1
87,0,2
88,8,0
89,0,3
90,5,64
91,14,198
92,0,6
93,0,3
94,54,765
95,5076,0
96,10,103
97,1,71
98,0,26
99,294,0
100,0,22
101,1,108
102,0,36
103,197,2111
104,9,57
105,10,0
106,4,0
107,531,0
108,3,58
109,0,1
110,6,627
111,0,3
112,69,409
113,115,1000
114,15,0
115,21,0
116,11,299
117,113,1740
118,53,547
119,0,2
120,0,3
121,0,5
122,10,260
123,0,26
124,16,547
125,80,213
126,49,1458
127,0,8
128,1,45
129,2,127
130,321,1245
131,12,152
132,39,425
133,14,165
134,43,535
135,642,2895
136,181,730
137,4783,16263
138,0,35
139,82,845
140,29,0
141,0,3
142,0,11
143,23,352
144,3,46
145,61,1098
146,0,117
147,1,37
148,6,249
149,5,52
150,18,307
151,0,45
152,11,634
153,88,1155
154,20,279
155,0,12
156,1,35
157,1,73
158,41,435
159,22,152
160,5,306
161,63,475
162,74,1038
163,182,1075
164,9,138
165,26,250
166,2,214
167,3,154
168,2,204
169,9,351
170,0,1
171,0,2
172,0,4
173,0,16
174,3,96
175,21,133
176,22,191
177,2,53
178,0,89
179,6,298
180,3,165
181,196,922
182,4,149
183,0,1
184,7,181
185,0,29
186,8,300
187,30,630
188,3,253
189,0,6
190,10,0
191,1,68
192,4,66
193,3,62
194,34,522
195,11,178
196,0,12
197,1,61
198,0,2
199,11,0
0,1,0
1,4,0
2,10,0
3,1,0
4,1,0
5,14,0
6,1,0
7,5,0
8,2,52
9,24,269
10,0,11
11,31,1005
12,15,165
13,2,6
14,33,263
15,0,2
16,13,131
17,2,46
18,60,676
19,3,137
20,1,1
21,2,1
22,0,2
23,3,0
24,0,0
25,3,129
26,0,18
27,1,35
28,0,35
29,1,28
30,0,24
31,0,14
32,0,67
33,9,0
34,263,1516
35,68,0
36,0,1
37,96,285
38,1,3
39,23,153
40,57,0
41,34,0
42,4374,0
43,10,44
44,41,316
45,9,0
46,2,0
47,0,6
48,36,0
49,356,0
50,363,2710
51,4,95
52,15,203
53,18,646
54,123,318
55,18,382
56,4,126
57,50,0
58,21,203
59,2,211
60,8,277
61,2,0
62,11,0
63,3,0
64,27,301
65,207,809
66,76,679
67,7,113
68,121373,0
69,15,0
70,29,0
71,86,0
72,10,296
73,29,464
74,36,728
75,9,251
76,3,195
77,19,200
78,64,390
79,332,1206
80,0,4
81,14,0
82,20,351
83,0,0
84,7,213
85,11,0
86,7,151
87,10,0
88,16,81
89,4,40
90,16,185
91,0,52
92,259,1856
93,12,303
94,23,626
95,1,72
96,18,294
97,2,140
98,12,126
99,291,0
100,0,49
101,6,60
102,0,60
103,1,62
104,1,15
105,0,22
106,1,0
107,6,178
108,21,256
109,128,854
110,18,0
111,12,135
112,17,387
113,36,247
114,2,43
115,24,0
116,0,38
117,14,0
118,4,0
119,9,171
120,1,0
121,0,23
122,39,473
123,2,48
124,9,0
125,13,0
126,28,260
127,1,0
128,12,214
129,91,970
130,0,2
131,2,49
132,6,122
133,1,39
134,9,87
135,40,466
136,182,0
137,317,1693
138,16,0
139,2,132
140,39,0
141,22,0
142,72,0
143,8,0
144,75,1226
145,37,0
146,146,0
147,532,1688
148,3,0
149,11,163
150,50,322
151,157,1981
152,129,0
153,26,206
154,1,10
155,4051,0
156,11,0
157,0,0
158,0,0
159,300,0
160,100,648
161,11,251
162,1,0
163,0,1
164,12,0
165,0,3
166,1,0
167,1,0
168,1,0
169,8,187
170,3,0
171,1,0
172,8,0
173,5,0
174,1,0
175,2,0
176,1,0
177,1,0
178,2,0
179,1,0
180,2,0
181,2,0
182,3,0
183,11,128
184,2,0
185,2,0
186,10,111
187,0,21
188,6,0
189,4,67
190,1,0
191,660,0
192,6,166
193,3,54
194,9,0
195,3,0
196,2,0
197,3,0
0,19,437
1,1,0
2,7,97
3,5,0
4,1,0
5,4,0
6,4,0
7,1,0
8,1,0
9,2,0
10,4,127
11,10,0
12,8,0
13,10,150
14,9,0
15,7,0
16,2,0
17,9,0
18,5,0
19,0,2
20,1,0
21,1,87
22,1,0
23,1,30
24,2,0
25,2,0
26,43,586
27,5,0
28,3,0
29,1,0
30,2,0
31,12,0
32,0,1
33,5,0
34,7,0
35,5,0
36,2,0
37,2,0
38,3,0
39,1,0
40,1,21
41,3,0
42,2,29
43,9,0
44,0,9
45,2,0
46,1,3
47,2,0
48,1,41
49,5,0
50,1,0
