,retweet_count,favorite_count
0,5671,14841
1,21895,52615
2,81940,114446
3,345,0
4,219,0
5,70,0
6,54,0
7,110,0
8,120,0
9,101,0
10,28906,48596
11,1610,3738
12,5538,14232
13,40106,78126
14,2310,10566
15,4055,14619
16,13270,29337
17,22321,51274
18,23940,33809
19,1217,5437
20,824,5802
21,75431,123349
22,44,0
23,20278,41951
24,78,673
25,44,0
26,43,0
27,73,0
28,65324,117929
29,31494,48184
30,137368,201965
31,11859,0
32,117600,189201
33,262,0
34,111668,172101
35,54657,83692
36,300,1318
37,17516,36905
38,22767,0
39,12245,27144
40,2253,7544
41,57238,76819
42,954,3881
43,45,0
44,27,0
45,41,0
46,3490,23239
47,687,2523
48,69022,94571
49,1854,7221
50,1715,11111
51,3663,17912
52,92,0
53,70,0
54,47,0
55,403,2267
56,1337,7706
57,92232,134435
58,198,1118
59,187,1246
60,5761,15877
61,737,3043
62,35,0
63,19634,38960
64,13418,32127
65,650,3285
66,693,2051
67,85004,101465
68,298,1644
69,16927,33102
70,83,0
71,31108,48282
72,47112,65617
73,328,1571
74,41035,60749
75,86,0
76,14967,24963
77,8665,14114
78,32593,42593
79,78036,105257
80,35877,47667
81,419,0
82,65002,85988
83,2812,7683
84,5779,14164
85,22587,43919
86,184,0
87,90,0
88,133,0
89,53,0
90,62,0
91,41,0
92,52,0
93,109,0
94,9859,23234
95,87528,131612
96,354,0
97,19,0
98,55,0
99,43,0
100,122,0
101,137,0
102,67,0
103,483,0
104,81,0
105,11185,19050
106,1796,6702
107,78275,131118
108,1966,0
109,49,0
110,70,0
111,176,0
112,67,0
113,47,0
114,8812,0
115,108,0
116,134,0
117,728,4160
118,23676,37683
119,1797,5356
120,1040,4549
121,815,4491
122,5477,19880
123,202,679
124,41629,61777
125,146,0
126,5248,14230
127,435,1545
128,46176,67442
129,6518,9709
130,37646,41639
131,26367,50091
132,55052,74487
133,735,0
134,88,0
135,643,3317
136,36194,53053
137,1231,3543
138,73760,108589
139,26295,23928
140,47897,86182
141,704,4624
142,176,0
143,287,1017
144,14743,25590
145,2205,8733
146,10330,29000
147,220,1294
148,8547,25103
149,3941,6327
150,2376,8341
151,1011,5975
152,113,0
153,92,0
154,512,0
155,120,0
156,177,0
157,1019,3838
158,505,1344
159,101,0
160,936,3036
161,137,0
162,25651,45379
163,19017,47446
164,398,2778
165,1098,0
166,1626,3936
167,391,0
168,191,0
169,318,0
170,160,0
171,2251,7251
172,41190,80468
173,43350,50289
174,879,3519
175,364,2361
176,429,1550
177,2792,12009
178,26379,46823
179,141,705
180,256,0
181,26023,0
182,1555,9285
183,58982,207797
184,104014,0
185,25682,63814
186,78090,121852
187,48146,141857
188,20713,46630
189,535,0
190,561,0
191,1915,0
192,162,0
193,1366,5947
194,161,740
195,1463,4492
196,2796,11457
197,150,0
198,59056,73433
199,196,0
0,961,0
1,202,0
2,58,0
3,128,0
4,85,0
5,33,0
6,54,0
7,186,0
8,18,0
9,314,0
10,2109,5236
11,31,0
12,19,0
13,14,0
14,41,0
15,13,0
16,12,0
17,24,0
18,15,0
19,18,0
20,10,0
21,8,0
22,66,0
23,21,0
24,10,0
25,12,0
26,12,0
27,20,0
28,7,0
29,12,0
30,19,0
31,43,0
32,7,0
33,12,0
34,30,0
35,8,0
36,26,0
37,11,0
38,24,0
39,9,0
40,9,0
41,24,0
42,10,0
43,18,0
44,7,0
45,7,0
46,10,0
47,14,0
48,8,0
49,11,0
50,12,0
51,13,0
52,13,0
53,84,0
54,14,0
55,16,0
56,7,0
57,8,0
58,10,0
59,37,0
60,7,0
61,16,0
62,7,0
63,6,0
64,9,0
65,6,0
66,17,0
67,5,0
68,6,0
69,5,0
70,68,0
71,46,0
72,9,0
73,5,0
74,6,0
75,8,0
76,22,0
77,12,0
78,24,0
79,10,0
80,6,0
81,9,0
82,23,0
83,18,0
84,6,0
85,17,0
86,22,0
87,6,0
88,23,0
89,11,0
90,21,0
91,5,0
92,18,0
93,17,0
94,14,0
95,17,0
96,8,0
97,52,0
98,6066,12245
99,13,0
100,12,0
101,9,0
102,7,0
103,18,0
104,12,0
105,21,0
106,19,0
107,24,0
108,11,0
109,8,0
110,15,0
111,10,0
112,10,0
113,110,0
114,21,0
115,22,0
116,28,0
117,33,0
118,9,0
119,12,0
120,22,0
121,9,0
122,11,0
123,19,0
124,35,0
125,18,0
126,24,0
127,18,0
128,12,0
129,32,0
130,19,0
131,8,0
132,13,0
133,12,0
134,12,0
135,15,0
136,11,0
137,13,0
138,11,0
139,17,0
140,20,0
141,18,0
142,15,0
143,15,0
144,16,0
145,17,0
146,14,0
147,10,0
148,13,0
149,68,0
150,20,0
151,16,0
152,22,0
153,22,0
154,21,0
155,13,0
156,23,0
157,91,0
158,13,0
159,41,0
160,38,0
161,61,0
162,19,0
163,14,0
164,19,0
165,16,0
166,29,0
167,25,0
168,12,0
169,47,0
170,18,0
171,255,2211
172,66,0
173,8089,22059
174,8032,10945
175,5662,13821
176,178,1035
177,319,1116
178,475,0
179,175,0
180,138,0
181,70,390
182,20,0
183,615,2444
184,3636,8891
185,251,1298
186,256,0
187,183,0
188,94,482
189,31346,68321
190,2832,5296
191,1167,1970
0,95,256
1,125,0
2,64,0
3,138,0
4,197,0
5,122,0
6,36,0
7,32,0
8,67,0
9,388,0
