,retweet_count,favorite_count
0,505,2884
1,176,0
2,6787,19859
3,799,4265
4,1833,10884
5,2129,0
6,3405,15262
7,3408,12148
8,5934,21227
9,10180,49493
10,31467,71418
11,435,2975
12,1901,0
13,326,0
14,411,0
15,496,2849
16,845,4149
17,593,3374
18,604,3542
19,704,4069
20,649,3840
21,44329,73827
22,719,4479
23,675,4283
24,636,4030
25,815,4218
26,724,4301
27,874,4765
28,1169,6536
29,1003,4333
30,406,2158
31,1155,5164
32,11441,63214
33,708,0
34,3788,16151
35,1631,0
36,3769,11616
37,4398,13430
38,71167,176375
39,20981,30738
40,7687,0
41,28569,77742
42,4922,19565
43,25476,0
44,2102,0
45,21958,0
46,2961,13966
47,5808,22036
48,443,0
49,108667,221395
50,194504,575143
51,1047,0
52,29665,85975
53,9174,39731
54,1516,7291
55,4203,16878
56,26588,0
57,19218,69876
58,5529,22217
59,3897,0
60,5209,16916
61,5338,16803
62,11220,29495
63,28758,56473
64,78715,128177
65,168114,242632
66,99653,0
67,6925,20924
68,22344,0
69,10351,0
70,17005,41412
71,20252,38052
72,9639,22959
73,1304,4882
74,13274,25348
75,15853,30448
76,49456,60370
77,1476,0
78,23602,42528
79,63248,90295
80,13570,0
81,18660,55637
82,24897,0
83,1492,0
84,1066,0
85,22748,49768
86,1167,0
87,774,1593
88,567,2364
89,637,0
90,1544,0
91,2672,9695
92,11601,0
93,1450,6029
94,444,0
95,80,277
96,1149,3349
97,3757,0
98,3029,0
99,1298,3555
100,2168,4675
101,1386,4398
102,11153,0
103,23273,48079
104,674,0
105,512,0
106,1036,3084
107,1043,0
108,4584,0
109,3407,5770
110,7003,0
111,1004,2132
112,1730,5930
113,22232,0
114,4246,6307
115,112,510
116,170,554
117,23579,38083
118,809,2506
119,5893,0
120,974,2553
121,1089,3801
122,17297,23600
123,22471,27086
124,1212,1856
125,2196,5158
126,1763,5086
127,1188,3324
128,291,1326
129,868,2673
130,350,1462
131,663,1963
132,292,1142
133,595,1905
134,316,1151
135,745,1966
136,325,1175
137,643,2079
138,351,1290
139,784,2335
140,528,1611
141,1433,3347
142,428,1679
143,1949,4908
144,6023,13105
145,9666,16147
146,20747,28495
147,2911,6819
148,22864,31238
149,12390,21377
150,73462,72245
151,2632,0
152,2374,0
153,1543,3993
154,9151,20403
155,643,0
156,3154,5917
157,2485,4730
158,8691,0
159,2157,0
160,22382,0
161,3318,6586
162,804,2641
163,6735,0
164,2836,6790
165,685,0
166,19002,28569
167,1704,3558
168,1615,0
169,115,403
170,170,502
171,217,537
172,1887,3182
173,1425,0
174,276,793
175,7064,10284
176,11479,23804
177,2483,6826
178,1392,0
179,472,1386
180,2096,5581
181,1744,0
182,9477,11003
183,596,0
184,3000,0
185,1463,3857
186,457,0
187,299,734
188,5374,8637
189,497,937
190,300,0
191,137,0
192,3042,7571
193,147,0
194,3492,0
195,213,0
196,58,280
197,634,0
198,54174,0
199,72486,66436
0,1599,0
1,1458,4349
2,207,0
3,912,1930
4,7954,8989
5,925,2432
6,1078,0
7,686,1347
8,581,1304
9,1343,1995
10,1111,0
11,3140,3757
12,248,0
13,949,0
14,2069,3918
15,2089,0
16,543,1537
17,8381,15058
18,2633,3476
19,37663,43285
20,8516,0
21,3265,3973
22,1143,0
23,2227,3106
24,5812,10280
25,13678,0
26,2181,2846
27,562,1255
28,6770,10990
29,593,0
30,32489,39266
31,31066,33513
32,3203,2850
33,822,1804
34,140,0
35,929,0
36,1529,0
37,1593,1915
38,7382,12751
39,5871,9630
40,1135,2995
41,3439,7819
42,649,1624
43,97,382
44,434,1099
45,180,797
46,208,560
47,8752,9769
48,287,681
49,1167,1624
50,12522,14933
51,1454,2580
52,2170,3170
53,701,0
54,4408,7811
55,4294,7438
56,901,0
57,1276,0
58,4227,8226
59,3736,8101
60,4752,9825
61,513,0
62,2005,3022
63,19777,27374
64,1294,0
65,561,0
66,52916,44127
67,10466,16648
68,8397,15505
69,22173,18963
70,21278,19466
71,154,624
72,6672,12313
73,113,433
74,2585,3047
75,26337,22638
76,1907,5253
77,652,0
78,4828,4467
79,1196,1757
80,5371,7729
81,1604,2096
82,682,1166
83,3554,5726
84,4772,0
85,2226,0
86,8370,6290
87,74,192
88,1066,2301
89,784,1025
90,6732,8974
91,13358,0
92,363,0
93,456,876
94,948,1304
95,503,883
96,974,1342
97,532,0
98,1826,1838
99,574,0
100,630,851
101,651,0
102,7575,8094
103,1414,0
104,523,0
105,1421,1640
106,2048,3072
107,435,583
108,305,595
109,4695,5033
110,2202,1911
111,3356,3312
112,1949,3169
113,87,246
114,423,543
115,848,1311
116,224,567
117,1289,1327
118,257,410
119,232,374
120,223,388
121,284,452
122,14383,9887
123,480,675
124,137,321
125,249,417
126,1690,1766
127,403,439
128,348,823
129,313,499
130,302,412
131,768,1033
132,1369,2101
133,2031,1202
134,8742,6857
135,567,419
136,158,0
137,9295,4114
138,384,386
139,1954,1030
140,1367,1471
141,661,617
142,373,0
143,3709,1668
144,903,634
145,850,666
146,9220,17961
147,8168,3812
148,379,0
149,5984,5904
150,2831,2201
151,495,0
152,533,446
153,1336,0
154,476,561
155,363,356
156,5937,0
157,325,407
158,1312,805
159,2804,2908
160,166,217
161,470,545
162,622,568
163,676,697
164,1256,0
165,771,1948
166,3199,2093
167,1607,1225
168,186,213
169,27606,23803
170,135,161
171,30,86
172,739,451
173,692,490
174,3791,3889
175,508,406
176,633,750
177,358,257
178,794,585
179,87,0
180,1299,814
181,9489,3312
182,362,0
183,2204,2315
184,1086,878
185,166,186
186,676,462
187,1842,1546
188,1044,0
189,1116,895
190,554,425
191,133,180
192,552,520
193,68,91
194,566,1196
195,208,294
196,265,0
197,34,83
0,1141,880
1,246,183
2,2276,862
3,4029,1445
4,518,0
5,1124,1990
6,2221,1785
7,330,0
8,509,378
9,80,0
10,1617,1229
11,871,0
12,65,141
13,65,123
14,903,647
15,314,0
16,804,380
17,1887,724
18,6460,2689
19,57,89
20,140,138
21,653,361
22,2963,1299
23,390,414
24,2665,1100
25,284,178
26,828,531
27,1442,0
28,160,234
29,7483,3293
30,193,0
31,275,224
32,63,0
33,188,157
34,328,0
35,549,353
36,547,0
37,461,1178
38,635,445
39,233,0
40,892,576
41,1250,878
42,811,673
43,25,56
44,1530,0
45,93,98
46,653,610
47,180,0
48,2100,1043
49,1339,942
50,23,70
51,1044,599
52,1013,561
53,315,239
54,5526,1934
55,346,0
56,813,663
57,77,88
58,228,203
59,551,0
60,4818,1887
61,827,694
62,477,0
63,278,218
64,152,124
65,609,380
66,181,205
67,18,46
68,384,318
69,4846,1449
70,18,45
71,481,346
72,472,982
73,362,275
74,77,101
75,533,436
76,33,64
77,18,45
78,18,53
79,170,201
80,22,51
81,25,56
82,178,207
83,1222,809
84,3927,1810
85,2484,1221
86,478,0
87,169,169
88,1228,1001
89,30,56
90,12,51
91,12,41
92,14,45
93,722,528
94,1574,693
95,1333,0
96,193,0
97,10587,0
98,2729,1261
99,13826,4420
100,1462,3283
101,165,0
102,1096,889
103,734,1479
104,6198,1602
105,2329,1054
106,392,139
107,172,105
108,252,196
109,136,0
110,13,44
111,3291,1217
112,918,465
113,292,397
114,262,0
115,1051,0
116,420,750
117,221,107
118,708,0
119,1706,544
120,293,502
121,2716,814
122,7870,2255
123,460,157
124,1682,469
125,4553,1385
126,647,241
127,16783,6122
128,10316,2664
129,1076,448
130,283,119
131,146,95
132,303,168
133,454,263
134,184,0
135,1069,847
136,429,123
137,195,106
138,344,93
139,379,143
140,31,29
141,183,96
142,109,83
143,121,65
144,433,146
145,48,0
146,581,0
147,2051,522
148,218,100
149,183,100
150,228,0
151,3229,726
152,2279,866
153,4066,1376
154,2989,786
155,11,33
156,66,75
157,1716,0
158,560,300
159,635,156
160,340,642
161,22,34
162,140,73
163,76,0
164,9,31
165,103,71
166,236,161
167,17303,4366
168,259,82
169,6,37
170,340,144
171,1225,401
172,838,327
173,7,25
174,11,33
175,116,106
176,2744,648
177,661,216
178,11,27
179,152,99
180,605,237
181,294,121
182,370,139
183,5212,1692
184,828,0
185,1731,647
186,630,419
187,124,77
188,166,156
189,477,193
190,270,0
191,84,77
192,4058,896
193,68,51
194,102,0
195,377,607
196,2544,1015
197,881,174
0,225,103
1,767,319
2,1429,405
3,794,1078
4,294,197
5,611,310
6,1103,583
7,798,338
8,246,0
9,1960,128
10,2108,1213
11,571,173
12,525,278
13,412,100
14,601,130
15,4,27
16,302,123
17,838,240
18,46,0
19,3500,1805
20,2086,704
21,92,73
22,95,55
23,754,297
24,1147,370
25,142,88
26,76,52
27,809,338
28,610,157
29,7,24
30,4,23
31,342,202
32,390,168
33,127,0
34,106,57
35,546,160
36,119,0
37,213,0
38,1380,495
39,2572,1479
40,6675,1441
41,584,211
42,2867,957
43,2238,755
44,946,428
45,422,0
46,179,100
47,126,63
48,329,79
49,1133,309
50,2530,627
51,1047,231
52,1348,423
53,4132,857
54,2300,929
55,1868,720
56,1958,725
57,2711,605
58,22,50
59,350,248
60,9,22
61,9,29
62,2488,481
63,986,374
64,1895,549
65,43,33
66,6327,0
67,143,133
68,769,351
69,809,271
70,102,0
71,6448,1239
72,395,81
73,4821,979
74,16,28
75,1103,354
76,32,0
77,47,37
78,152,62
79,398,77
80,421,108
81,948,367
82,1127,408
83,653,370
84,24,34
85,10115,5592
86,978,381
87,403,175
88,104,53
89,59,49
90,92,54
91,88,65
92,81,65
93,93,69
94,93,60
95,122,86
96,85,42
97,118,46
98,166,86
99,4,21
100,1111,321
101,5343,1924
102,108,58
103,243,181
104,433,320
105,144,0
106,45,0
107,34,0
108,91,0
109,312,159
110,708,319
111,2139,657
112,3458,1726
113,1366,551
114,1656,667
115,72,40
116,208,0
117,228,135
118,640,230
119,36,0
120,262,652
121,162,164
122,3066,622
123,418,160
124,1255,602
125,508,111
126,14,29
127,2944,911
128,1721,582
129,1005,178
130,418,0
131,4334,0
132,45,0
133,272,133
134,611,173
135,3224,547
136,445,70
137,673,191
138,48,45
139,94,56
140,63,40
141,22,48
142,56,67
143,31,51
144,64,44
145,2016,881
146,65,45
147,56,40
148,2318,943
149,622,875
150,191,122
151,45,55
152,472,83
153,272,104
154,445,874
155,14,32
156,551,174
157,1059,435
158,221,138
159,210,124
160,356,60
161,271,119
162,696,541
163,251,115
164,3,19
165,84,53
166,36,34
167,127,58
168,479,103
169,51,46
170,34,0
171,506,150
172,351,73
173,1315,201
174,59,51
175,739,215
176,36,32
177,378,178
178,84,66
179,171,75
180,58,50
181,29,32
182,56,45
183,183,124
184,171,64
185,101,45
186,831,265
187,3,18
188,353,169
189,30,32
190,170,65
191,464,114
192,1432,396
193,68,0
194,21,0
195,17,0
196,47,0
197,566,133
198,3523,1074
0,776,262
1,831,158
2,241,90
3,953,239
4,4514,1267
5,873,464
6,75,44
7,101,45
8,32,34
9,134,79
10,7080,1477
11,50,39
12,55,48
13,173,104
14,525,239
15,137,39
16,441,0
17,143,65
18,93,38
19,1713,344
20,363,172
21,765,210
22,550,156
23,311,123
24,22,36
25,269,79
26,509,219
27,32,31
28,262,141
29,83,0
30,9,28
31,26,33
32,2,21
33,5,25
34,50,62
35,489,0
36,74,65
37,30,38
38,3,17
39,31,34
40,47,53
41,29,47
42,45,52
43,3031,1267
44,245,85
45,230,77
46,3719,684
47,467,187
48,1296,0
49,869,358
50,3552,602
51,1339,311
52,4073,1163
53,116,63
54,333,174
55,728,183
56,867,214
57,335,121
58,677,192
59,242,296
60,2763,534
61,5,15
62,94,0
63,3596,631
64,225,0
65,301,143
66,2737,676
67,27,30
68,83,31
69,118,55
70,375,112
71,91,0
72,3204,2085
73,2315,858
74,184,57
75,101,46
76,401,170
77,209,46
78,5,14
79,1999,3531
80,106,0
81,315,61
82,327,78
83,3,14
84,3,14
85,11,0
86,8,0
87,563,144
88,148,70
89,315,150
90,493,169
91,11157,10444
92,94,42
93,147,39
94,219,76
95,190,409
96,115,47
97,4167,1117
98,1975,451
99,114,30
100,398,91
101,664,144
102,188,137
103,6,15
104,78,24
105,12,24
106,91,0
107,24,17
108,109,54
109,3,14
110,333,62
111,185,150
112,228,57
113,1446,292
114,1638,388
115,255,68
116,110,48
117,256,0
118,39,23
119,204,62
120,142,133
121,1135,319
122,1734,324
123,40,24
124,83,33
125,27,13
126,157,54
127,60,0
128,89,41
