,retweet_count,favorite_count
0,3130,17603
1,4593,22161
2,2908,12819
3,2329,11478
4,636,0
5,10965,63803
6,1861,10508
7,790,0
8,11432,41576
9,1941,0
10,4237,19560
11,8106,31036
12,15188,107762
13,2449,9805
14,12288,31568
15,4547,23195
16,4664,25459
17,3805,22819
18,15961,75375
19,749,0
20,4134,20276
21,737,0
22,5789,23572
23,5958,27454
24,769,0
25,5215,21193
26,18747,89956
27,6733,39989
28,808,0
29,6362,21075
30,22456,152445
31,1080,0
32,4183,21471
33,7754,35387
34,9112,39363
35,4747,0
36,14771,58237
37,12784,42525
38,18283,81736
39,6914,27256
40,5503,0
41,4473,19010
42,8212,36903
43,5938,30470
44,2502,13257
45,3463,0
46,742,0
47,3094,15325
48,5234,23280
49,6181,23854
50,12570,54573
51,2623,13860
52,2170,5494
53,6586,31523
54,7606,39832
55,7998,0
56,6863,30710
57,1066,0
58,5159,31601
59,17043,59836
60,5167,27706
61,5067,27402
62,7623,34102
63,6086,31003
64,3009,10869
65,9126,38693
66,9172,51644
67,7634,33761
68,6049,24882
69,1026,0
70,1799,0
71,6885,33190
72,3057,15868
73,4594,19638
74,11072,75021
75,8969,34555
76,10901,32109
77,4045,14592
78,2700,11533
79,3260,11720
80,4443,22308
81,22742,111367
82,4636,20386
83,85227,328826
84,597,2235
85,6574,47892
86,4104,25796
87,4301,23023
88,3851,16983
89,3080,0
90,5297,23665
91,4402,0
92,10951,33815
93,5700,24986
94,4655,27564
95,2237,14183
96,55339,0
97,11496,40472
98,6174,20963
99,12351,47867
100,8884,50693
101,6459,28806
102,40852,0
103,40852,156843
104,4902,22588
105,8575,38744
106,3563,11653
107,8544,53194
108,3975,16443
109,1252,0
110,11295,69128
111,8429,33602
112,5722,22045
113,3055,12311
114,3315,11857
115,2335,9375
116,5038,14691
117,6682,18436
118,5754,22739
119,11854,73896
120,4136,24580
121,6544,0
122,4225,15953
123,3800,15374
124,6113,28728
125,4254,0
126,4016,19773
127,4792,24178
128,6557,28155
129,5862,25379
130,625,1538
131,4944,23646
132,4501,14600
133,5673,21100
134,8687,41913
135,10350,29697
136,39332,116652
137,4499,0
138,6207,28401
139,31277,170520
140,5142,20956
141,22203,61582
142,17920,65887
143,8603,30357
144,4802,18732
145,3252,13292
146,1058,3333
147,1452,0
148,1560,5340
149,6737,42249
150,19690,83031
151,816,2559
152,2004,5225
153,1074,3194
154,1114,3757
155,8898,28692
156,13925,43598
157,4774,0
158,1802,5498
159,10125,48878
160,563,1816
161,603,1801
162,575,1691
163,1297,4216
164,621,1907
165,668,1868
166,715,2202
167,522,1454
168,567,1669
169,561,1676
170,1510,0
171,5167,23378
172,954,2698
173,7365,27971
174,9794,26652
175,3971,0
176,7348,30038
177,11756,0
178,29163,102082
179,1755,0
180,30306,98760
181,13361,66151
182,10417,37558
183,14054,54303
184,23162,86095
185,4072,18896
186,54039,0
187,3317,10961
188,874,2894
189,7970,29148
190,6183,31302
191,744,2017
192,3285,18711
193,3904,24921
194,546,1427
195,678,1828
196,7001,37490
197,2115,0
198,3727,0
199,1958,0
0,5698,24681
1,2183,0
2,4386,0
3,7385,30822
4,8071,35867
5,24391,63755
6,8549,45561
7,952,2709
8,1042,3355
9,6881,28518
10,48542,150998
11,5382,25340
12,3434,14527
13,4393,20532
14,12570,55846
15,1018,0
16,10478,42081
17,6048,22921
18,1781,0
19,7949,39822
20,2612,9999
21,4843,17675
22,10199,46148
23,8155,33891
24,8256,31634
25,1221,0
26,29869,77334
27,6910,21433
28,7605,22663
29,8338,22394
30,9300,30701
31,3259,15048
32,1220,0
33,1347,0
34,1280,0
35,7070,25889
36,4316,18816
37,561,1609
38,819,2436
39,10345,44607
40,2310,9686
41,1868,0
42,5628,21698
43,12868,48812
44,12530,26450
45,737,2533
46,591,1509
47,22372,0
48,10788,10763
49,931,0
50,1199,0
51,1312,0
52,1322,0
53,9397,31437
54,6754,23482
55,94019,0
56,2772,4368
57,1111,3121
58,1306,3898
59,5598,13345
60,7888,20769
61,14878,44995
62,8900,25560
63,16808,49121
64,3905,17151
65,11578,35042
66,4744,18327
67,7340,25466
68,3351,18210
69,3952,16391
70,2085,8344
71,6594,26097
72,5167,19095
73,1359,0
74,1931,7058
75,3072,15681
76,16977,39881
77,5604,21710
78,6176,24876
79,2617,16855
80,802,1958
81,4409,17302
82,4724,20039
83,2719,0
84,7181,29924
85,4511,27407
86,2756,0
87,7874,27013
88,13611,53974
89,6646,19399
90,12120,43247
91,12846,35061
92,9191,25327
93,8613,25225
94,8882,23162
95,10611,38499
96,3420,10456
97,5867,0
98,13601,39724
99,17440,47141
100,14706,42348
101,9172,25690
102,17471,50328
103,2909,10734
104,621,1691
105,1202,3149
106,737,1960
107,4610,15775
108,6632,25523
109,51017,139989
110,2762,9936
111,1103,0
112,1133,3120
113,12021,38546
114,7784,35151
115,4911,20501
116,6072,16248
117,10272,29801
118,2796,8654
119,3373,9052
120,11594,39776
121,3691,14621
122,2980,0
123,3878,0
124,2230,0
125,3169,9890
126,4268,13710
127,3825,0
128,2672,0
129,5478,15227
130,948,2103
131,2947,8846
132,9871,0
133,7466,29443
134,26886,88850
135,5155,20356
136,3486,11412
137,1693,3434
138,9394,30705
139,4797,0
140,2188,0
141,6513,19880
142,7402,25880
143,5971,15614
144,4784,0
145,6183,23192
146,2091,6601
147,13364,34576
148,7868,17389
149,5620,20779
150,5184,21586
151,3402,11089
152,7579,26046
153,3309,11921
154,4871,17613
155,2882,0
156,3172,10491
157,6159,16201
158,3376,10088
159,17600,55796
160,11390,24163
161,3126,0
162,13105,31364
163,12752,45668
164,35696,73507
165,13736,29285
166,5248,19067
167,8637,28609
168,2320,0
169,920,3371
170,13497,39952
171,1896,0
172,4542,0
173,2825,7547
174,14227,44331
175,4911,22300
176,3583,11861
177,1516,0
178,9256,27325
179,1906,0
180,3855,0
181,3965,15486
182,4185,12382
183,6076,21315
184,8328,0
185,6625,17481
186,3542,13053
187,4766,14442
188,8261,23654
189,1928,6765
190,3815,13241
191,16475,0
192,2196,0
193,16087,46989
194,2998,0
195,7211,16484
196,8573,25924
197,2132,0
198,5099,15873
199,7753,17420
0,2165,0
1,7141,21985
2,6151,18239
3,4805,16311
4,10423,28110
5,7847,29157
6,2706,8529
7,12390,44835
8,9491,37323
9,6933,0
10,4315,0
11,18017,0
12,8145,23167
13,17716,50967
14,1192,3415
15,3234,0
16,8950,31419
17,9402,16763
18,2340,0
19,7922,0
20,3377,11085
21,21259,34846
22,9221,23275
23,22803,48232
24,14437,58008
25,4269,12759
26,4590,14805
27,9213,28135
28,20454,94885
29,44982,100471
30,49197,159636
31,8129,0
32,9345,34756
33,35354,88283
34,11521,41961
35,8124,23298
36,6853,16696
37,992,0
38,1226,0
39,8050,22945
40,1305,0
41,2751,9833
42,1679,0
43,5979,14615
44,5851,17951
45,3286,0
46,5235,15163
47,1412,3941
48,1028,3263
49,1334,3761
50,948,2968
51,1470,3943
52,1060,3229
53,3862,14145
54,8118,19162
55,10030,29178
56,3592,12902
57,2468,9803
58,3581,9262
59,2829,8829
60,5651,20096
61,4694,10706
62,3504,12584
63,9184,25637
64,3704,0
65,10481,30333
66,5304,11486
67,3646,0
68,3747,0
69,6498,18018
70,641,2343
71,4203,0
72,4971,0
73,1084,0
74,4073,0
75,2658,6726
76,3531,9665
77,3207,0
78,2989,0
79,5091,9418
80,7899,13466
81,1750,0
82,75631,0
83,3754,11983
84,2095,6469
85,7654,28806
86,1923,0
87,2510,8224
88,712,2258
89,652,2076
90,6486,15824
91,942,3630
92,3020,8960
93,2007,5581
94,1472,4207
95,832,0
96,997,0
97,1595,0
98,1625,0
99,3107,9136
100,2330,7681
101,2008,6758
102,1732,5761
103,4533,16382
104,3455,9131
105,3605,0
106,1635,0
107,670,0
108,2311,0
109,2968,0
110,3166,8669
111,4031,10271
112,2044,4693
113,15009,33841
114,3110,0
115,2480,0
116,4557,10181
117,3095,8133
118,2486,8646
119,13801,23510
120,4030,10753
121,2015,4808
122,1852,4578
123,2627,6055
124,2283,5267
125,8656,16454
126,2269,0
127,6475,14718
128,8360,24760
129,11312,28890
130,5458,0
131,5409,14098
132,1747,0
133,3512,6932
134,1516,0
135,1863,5620
136,2433,7020
137,3235,9651
138,2048,5955
139,3515,8570
140,1774,0
141,595,1694
142,2391,7865
143,2311,6289
144,795,0
145,1808,4954
146,2951,6475
147,2168,7629
148,4172,9458
149,2026,0
150,5021,15713
151,1265,0
152,2480,6358
153,1503,4433
154,2731,8168
155,4022,9642
156,3165,8222
157,3029,10540
158,2114,6690
159,1146,0
160,1823,5543
161,1730,0
162,8265,27655
163,3180,0
164,3997,9177
165,2198,7197
166,8553,0
167,1399,3864
168,1704,5351
169,3577,7436
170,2008,0
171,2182,6822
172,1554,4394
173,4016,10845
174,1789,4774
175,7277,19567
176,3237,0
177,762,0
178,2427,8707
179,2010,7781
180,1517,4563
181,2709,0
182,3585,12846
183,3926,11847
184,2436,7072
185,3479,10178
186,12154,34288
187,2780,9240
188,2187,7314
189,2215,5964
190,794,0
191,2150,7321
192,3855,11576
193,1942,5590
194,11789,29534
195,2082,6607
0,1724,0
1,3734,13181
2,1970,7836
3,2206,8969
4,5413,0
5,2550,9178
6,4655,17664
7,1393,0
8,1592,0
9,5692,19781
10,1125,0
11,9980,28130
12,6741,18861
13,13109,32940
