,retweet_count,favorite_count
0,1414,5234
1,5317,19167
2,276,1569
3,16727,23749
4,1215,4723
5,5453,37827
6,1047,5982
7,928,4649
8,38118,76679
9,2011,8202
10,319,1939
11,741,3204
12,1716,9089
13,350,2449
14,1992,8209
15,2535,12795
16,1643,9189
17,807,4327
18,404,2260
19,1379,5015
20,2042,9422
21,2553,9521
22,2323,7846
23,906,4742
24,944,5060
25,12538,27502
26,959,3970
27,283,1682
28,1812,8329
29,58,93
30,1136,4934
31,2150,9061
32,1258,6209
33,1377,3821
34,348,1385
35,5579,15001
36,1943,7578
37,608,2208
38,5987,24049
39,2854,9258
40,748,3335
41,844,5469
42,1944,6633
43,763,2338
44,4421,15697
45,28268,72130
46,908,2943
47,3964,16301
48,2169,5391
49,1986,7337
50,5838,17044
51,962,5351
52,4067,22997
53,183,1917
54,824,2142
55,1278,5587
56,1554,4929
57,2686,8204
58,1001,3752
59,10285,21701
60,1896,4581
61,2318,5664
62,877,2371
63,5875,15019
64,761,2071
65,786,3875
66,1275,3670
67,1482,4838
68,2601,13987
69,904,3687
70,14512,26165
71,4318,9784
72,6641,22381
73,8248,27987
74,764,2514
75,688,2180
76,2592,6036
77,20037,42041
78,433,0
79,2886,13890
80,713,3060
81,7672,17356
82,625,2621
83,584,2672
84,407,1934
85,2388,5076
86,1224,2416
87,565,1968
88,684,2399
89,3520,9248
90,655,2447
91,486,1982
92,491,1523
93,633,1787
94,3708,10596
95,449,1443
96,911,1889
97,3412,9490
98,8981,6789
99,1332,3970
100,1070,4091
101,272,1005
102,1233,4963
103,1514,5084
104,731,3076
105,300,1054
106,2353,5260
107,720,3617
108,467,1300
109,2918,7675
110,1302,2944
111,2971,8639
112,3653,11168
113,365,1162
114,475,1390
115,914,2764
116,1114,3553
117,1810,7115
118,608,2430
119,650,2615
120,391,1381
121,964,0
122,358,0
123,4290,8479
124,1494,6247
125,3194,9757
126,5462,14617
127,1288,5090
128,4535,10443
129,1783,5435
130,2292,6435
131,1653,5855
132,5397,11275
133,601,1833
134,1301,3266
135,3698,11298
136,81,299
137,127,403
138,476,2122
139,325,1443
140,1148,5790
141,2464,5128
142,452,1280
143,50,248
144,658,2441
145,337,1162
146,290,0
147,4678,9583
148,1324,1039
149,922,2028
150,719,2199
151,922,5732
152,1849,5972
153,585,2572
154,402,1665
155,3009,9749
156,794,2942
157,12829,22611
158,559,1589
159,11014,29983
160,1137,4837
161,1696,8057
162,1233,3648
163,899,3403
164,3249,6189
165,2977,7353
166,1589,3753
167,1662,5406
168,1529,5273
169,1799,7346
170,2345,6222
171,2003,5519
172,1017,2771
173,1721,4730
174,611,1675
175,1965,4264
176,1272,6276
177,516,1622
178,752,2554
179,4363,9321
180,10096,27811
181,857,3165
182,2046,4722
183,1686,5993
184,1304,4477
185,15231,39476
186,571,2124
187,745,1816
188,7285,13636
189,2958,7164
190,2119,6741
191,9730,14207
192,2198,5354
193,1664,5625
194,9426,16377
195,901,3095
196,899,2705
197,741,2124
198,549,1998
199,1776,5933
0,4376,9100
1,983,3699
2,717,3116
3,1077,2834
4,1163,3312
5,750,2164
6,3259,7749
7,21569,32674
8,751,3212
9,3012,7326
10,2335,5624
11,1651,4843
12,8846,20735
13,847,3304
14,1934,4664
15,10123,17052
16,2548,6056
17,1852,3990
18,1107,4785
19,1651,4047
20,635,2480
21,15002,21841
22,2002,4462
23,6850,20678
24,3730,5906
25,1629,4144
26,3744,7745
27,5042,8646
28,7528,17538
29,1079,4131
30,16307,15084
31,1563,4147
32,1018,3808
33,496,1736
34,698,2367
35,4003,11056
36,27314,33101
37,2323,5491
38,605,2333
39,918,2993
40,3104,5136
41,5266,7955
42,5315,12827
43,869,2147
44,2314,5445
45,3380,4916
46,1069,3216
47,708,0
48,540,0
49,216,0
50,810,2371
51,812,2543
52,1041,4663
53,1870,4839
54,2009,4038
55,3994,6299
56,2726,5445
57,645,1733
58,3450,8817
59,871,2307
60,3358,6548
61,9585,19170
62,3216,7000
63,8216,17552
64,4357,8869
65,1299,5416
66,7833,13385
67,903,2001
68,8610,12396
69,1756,0
70,932,0
71,859,0
72,10071,0
73,3567,8169
74,19043,32948
75,8697,11884
76,1655,6566
77,54735,66378
78,42551,53553
79,89539,113091
80,3706,14766
81,753,2579
82,3326,11092
83,1197,3304
84,902,2765
85,9280,17982
86,728,2842
87,2189,6175
88,3220,7579
89,881,4277
90,2031,6174
91,3090,5568
92,2164,6595
93,1164,2687
94,7074,15232
95,1548,3489
96,733,2130
97,508,1365
98,1249,3531
99,2794,4919
100,8625,15674
101,1218,4064
102,1455,3810
103,2811,7539
104,6137,10190
105,5077,9824
106,5018,7781
107,893,3001
108,731,3458
109,2717,5534
110,612,0
111,252,0
112,2018,5190
113,11393,15499
114,1556,3656
115,1308,2413
116,528,1436
117,29550,51311
118,4885,11364
119,4784,10272
120,8730,22158
121,2466,4509
122,4497,5479
123,3607,5416
124,2160,3765
125,9762,14281
126,909,3138
127,3255,5633
128,2307,4510
129,1894,5395
130,1895,4254
131,5890,7862
