,retweet_count,favorite_count
0,10,91
1,12130,0
2,62,0
3,165,0
4,120,784
5,38,0
6,1423,8050
7,22,0
8,737,0
9,6397,0
10,6397,18446
11,11,51
12,769,2872
13,2289,9737
14,118,0
15,1479,0
16,401,0
17,9,59
18,21,92
19,26,0
20,60,0
21,60,431
22,26,839
23,71,0
24,6,0
25,6743,0
26,18075,0
27,464,0
28,78,0
29,3049,0
30,306,1527
31,143,759
32,40,0
33,67,0
34,62,202
35,14,117
36,925,0
37,25,147
38,144,437
39,379,0
40,5,0
41,161,0
42,10,0
43,5241,0
44,41,265
45,297,0
46,136,0
47,297,1124
48,343,1276
49,32,0
50,143,0
51,379,0
52,379,1066
53,518,2559
54,22,95
55,201,0
56,225,2269
57,201,806
58,10,31
59,467,0
60,467,1078
61,40,0
62,8,41
63,246,716
64,2402,0
65,96,277
66,190,1175
67,435,1650
68,11,54
69,5,32
70,3557,0
71,8785,0
72,507,1685
73,15,0
74,11,0
75,13,100
76,12,49
77,16,53
78,2402,5848
79,141,501
80,311,0
81,41,342
82,19,0
83,263,0
84,82,340
85,19,74
86,373992,0
87,780,0
88,15,0
89,780,3062
90,376,1941
91,280,0
92,23,0
93,181,0
94,172,0
95,173,0
96,22708,0
97,8,0
98,172,61
99,263,500
100,181,110
101,280,477
102,173,50
103,11,32
104,170,39
105,9,0
106,46,0
107,174,52
108,32,0
109,336,1064
110,180583,0
111,19,0
112,18,0
113,30,0
114,9,0
115,16,0
116,70,0
117,20,0
118,13,0
119,19,0
120,19,53
121,246,0
122,35,0
123,31,0
124,246,2112
125,31,83
126,35,220
127,70,301
128,13,0
129,266,1064
130,46,215
131,195,691
132,100,317
133,618,2321
134,459,1628
135,65,0
136,497,0
137,26,114
138,140,361
139,9,47
140,12,0
141,10,0
142,105,0
143,497,1492
144,230735,0
145,38,0
146,16,0
147,38,126
148,16,59
149,10,0
150,17,0
151,17,55
152,548346,0
153,279,0
154,1259,0
155,1259,2868
156,28,88
157,55,0
158,99,615
159,103,0
160,103,150
161,16,67
162,28,130
163,15,77
164,7,45
165,437,0
166,437,3246
167,237,0
168,246,1869
169,102,642
170,4022,15851
171,239,869
172,735,3070
173,48856,0
174,1960,0
175,93,0
176,27,117
177,93,413
178,43,495
179,10,101
180,105,262
181,171242,0
182,1960,5615
183,1754,3821
184,92,148
185,3338,0
186,2733,0
187,2919,7005
188,22,104
189,74,547
190,405,0
191,25,243
192,73,435
193,187,0
194,36,0
195,1951,0
196,1174,620
197,295,1387
198,11,69
199,3004,0
0,3004,9015
1,600,1572
2,21,53
3,11,26
4,1079,0
5,497,0
6,27,0
7,23,0
8,84,284
9,834,0
10,27,0
11,134,37
12,138,44
13,31578,0
14,60,470
15,162,0
16,1115,0
17,114,495
18,162,918
19,265,0
20,61,0
21,342,0
22,12,0
23,1079,1621
24,756,501
25,342,80
26,497,204
27,61,205
28,14,50
29,263,0
30,620,0
31,9,0
32,265,103
33,263,110
34,294,0
35,4802,0
36,248,1151
37,10,0
38,1527,0
39,1983,0
40,685,0
41,235,0
42,25,0
43,12,0
44,1227,0
45,1227,4269
46,285,106
47,521,83
48,685,439
49,8,44
50,3,32
51,706,0
52,531,0
53,531,96
54,1951,3477
55,4,29
56,34,146
57,37959,0
58,35,333
59,267,1839
60,7778,0
61,46,349
62,57,425
63,12,36
64,16,67
65,14,47
66,80,503
67,34,0
68,272,0
69,278,0
70,272,156
71,53,176
72,151,517
73,1700,0
74,1700,4143
75,278,159
76,23,0
77,1204,0
78,1046,0
79,1046,886
80,1983,2296
81,1204,1022
82,10,41
83,23,63
84,15,54
85,43,0
86,21,72
87,4566,0
88,7,0
89,12,57
90,238,719
91,201,714
92,640,2001
93,4566,3398
94,85,0
95,454,523
96,389,295
97,1226,0
98,5777,0
99,1226,5294
100,17,89
101,5998,0
102,1350,0
103,61,0
104,13,0
105,22,0
106,16,0
107,5,0
108,14,0
109,2238,0
110,36,0
111,20,78
112,17,0
113,10,0
114,2238,3427
115,26,60
116,138,0
117,103,465
118,39,100
119,14,0
120,345,0
121,9,0
122,38,0
123,524,0
124,809,0
125,602,902
126,809,1527
127,15,43
128,136,0
129,524,483
130,165,863
131,13141,0
132,32,0
133,205,732
134,63,313
135,39,0
136,15,0
137,306,0
138,5776,0
139,26,0
140,3,0
141,5,0
142,245,0
143,306,285
144,11,0
145,265,74
146,445,1049
147,24,0
148,1307,0
149,35,250
150,59,347
151,1527,1278
152,1307,351
153,10,0
154,12,0
155,10,50
156,24,0
157,27,0
158,26,0
159,14,0
160,617,0
161,6020,0
162,109,0
163,109,433
164,617,1562
165,230,783
166,15,0
167,11,44
168,112,515
169,75,109
170,25,0
171,1382,0
172,38,0
173,126,0
174,915,0
175,126,1123
176,2118,0
177,65,512
178,31,0
179,203,0
180,182,54
181,184,56
182,9,41
183,203,130
184,24,0
185,23,0
186,915,2062
187,54,65
188,40938,0
189,355,0
190,471,0
