,retweet_count,favorite_count
0,3160,17474
1,14081,72960
2,4306,24731
3,7947,58867
4,2059,16688
5,3236,17206
6,5784,37826
7,6632,31016
8,6133,25950
9,8889,40576
10,15732,80283
11,3692,14815
12,4298,18099
13,4446,18480
14,5444,24944
15,6634,49092
16,2689,20948
17,9562,36602
18,8096,37435
19,2835,20464
20,3954,26487
21,45847,180005
22,2580,23224
23,3140,25154
24,5409,33131
25,19012,91165
26,10380,43371
27,7835,33616
28,4122,27404
29,4113,27097
30,6566,0
31,6988,46573
32,6551,28398
33,11159,32613
34,8215,49257
35,48948,175676
36,50111,189960
37,9073,53626
38,2933,17825
39,4393,26650
40,3190,18228
41,5521,33077
42,6996,31873
43,5862,35349
44,4530,20525
45,1093,0
46,1213,0
47,5262,29595
48,5950,40989
49,2795,22880
50,2888,24353
51,5656,34423
52,5028,31546
53,1649,0
54,8531,51761
55,6783,35585
56,4888,24856
57,14571,52394
58,5777,44707
59,7056,29050
60,105145,367780
61,4678,24677
62,35418,84641
63,4296,20701
64,62284,197409
65,160525,361155
66,63245,152053
67,11806,32660
68,3794,20509
69,4213,20070
70,5031,43117
71,30849,78010
72,8650,28572
73,8642,29347
74,16121,78346
75,8676,40401
76,56638,218083
77,9447,38894
78,8061,49039
79,2329,0
80,4335,29655
81,2601,17338
82,3033,33796
83,3908,27831
84,5612,43127
85,3129,19616
86,2870,15264
87,2544,18270
88,14325,65180
89,7832,49070
90,2339,18238
91,4203,19556
92,153330,574073
93,4591,30266
94,5752,33638
95,8595,32716
96,4542,20076
97,6584,25387
98,102955,343772
99,44207,188144
100,8900,37686
101,12034,39133
102,12364,43971
103,99867,313732
104,19304,52769
105,13756,45399
106,10760,38276
107,3569,15609
108,1893,0
109,1061,0
110,6091,27022
111,5073,24404
112,9713,38810
113,7610,37224
114,9486,42796
115,5452,14641
116,8020,29027
117,30044,68419
118,2037,7983
119,2643,14950
120,8847,35418
121,5714,41349
122,3742,16104
123,36995,110895
124,8762,0
125,4202,15931
126,35698,154394
127,11443,41268
