,retweet_count,favorite_count
0,1410,9429
1,153,666
2,26536,79421
3,44326,0
4,675,0
5,2101,8674
6,82,0
7,636,0
8,815,0
9,724,0
10,874,0
11,80,230
12,14,57
13,1169,0
14,84922,258885
15,2944,0
16,3788,0
17,1631,0
18,1012,0
19,341,2605
20,3767,0
21,92,798
22,7686,0
23,4228,8461
24,467,0
25,747,0
26,550,2417
27,2118,0
28,1816,0
29,2772,0
30,25462,0
31,417,1553
32,3382,8158
33,3,87
34,13069,0
35,2889,6768
36,31050,24541
37,2138,0
38,28767,0
39,21957,0
40,328,2481
41,42543,0
42,52,0
43,121,989
44,191,965
45,1074,5429
46,1771,5041
47,33,0
48,1190,3728
49,810,3741
50,1111,0
51,966,0
52,782,3876
53,85,0
54,16638,0
55,875,5762
56,1104,6693
57,4203,18115
58,6,13
59,93,480
60,9173,0
61,14,141
62,65,0
63,1442,0
64,26585,0
65,1742,6537
66,5528,0
67,11121,0
68,482,0
69,154,0
70,78707,0
71,9,55
72,19,182
73,7154,12858
74,5671,13543
75,2845,8335
76,3,25
77,375,1708
78,246,1328
79,731,0
80,29,159
81,92,340
82,799,4258
83,19,76
84,258,1461
85,834,3293
86,197,849
87,138,931
88,91,451
89,62,493
90,48,194
91,659,0
92,253,977
93,26,293
94,2278,5258
95,914,2605
96,999,2735
97,954,3299
98,15853,0
99,49450,0
100,3421,7296
101,78,0
102,524,0
103,760,2662
104,345,1259
105,416,1239
106,211,752
107,278,0
108,380,1576
109,560,1682
110,17,188
111,187,633
112,414,2012
113,1954,4084
114,1730,2428
115,1102,0
116,63240,0
117,924,2203
118,668,1300
119,3087,8620
120,409,0
121,409,1088
122,526,1808
123,3956,5720
124,1,13
125,15,54
126,44,0
127,4063,0
128,800,0
129,649,2448
130,17,80
131,33,179
132,2556,6336
133,216,882
134,93,0
135,638,1972
136,302,838
137,1041,0
138,1771,0
139,765,0
140,188,0
141,295,1446
142,618,0
143,1359,0
144,1492,0
145,5493,13291
146,97,269
147,151,705
148,2355,5311
149,163,0
150,234,830
151,591,0
152,718,0
153,480,0
154,3546,6180
155,783,0
156,1167,0
157,216,711
158,2909,6917
159,116,0
160,384,777
161,2158,3469
162,41,209
163,2898,0
164,1806,0
165,1176,2101
166,2359,0
167,2318,3816
168,240,0
169,1294,0
170,264,903
171,155,1020
172,107,574
173,3231,5444
174,769,2089
175,242,945
176,16,0
177,28,0
178,255,1030
179,987,0
180,35,0
181,1327,2700
182,28,214
183,27,254
184,748,0
185,11,0
186,225,1212
187,250,1818
188,55,274
189,127,701
190,113,483
191,2358,2596
192,3806,5900
193,173,760
194,8,223
195,1762,2717
196,54,139
197,221,486
198,319,1092
199,56,351
0,548,1178
1,100,405
2,236,818
3,1034,2063
4,23,105
5,21,139
6,2220,2279
7,449,1311
8,2273,4886
9,80,297
10,68,306
11,63,271
12,16,148
13,610,808
14,138,365
15,413,929
16,100,292
17,65,303
18,374,871
19,1808,3488
20,114,486
21,94,316
22,669,1633
23,131,388
24,154,681
25,46,0
26,29,84
27,663,0
28,11,80
29,37,0
30,271,0
31,273,970
32,9,0
33,323,1224
34,378,922
35,12,40
36,72,0
37,637,1771
38,206,0
39,1783,0
40,3378,0
41,4994,0
42,3747,5264
43,1176,0
44,11784,0
45,133,631
46,212,698
47,247,1068
48,796,2120
49,499,1880
50,128,328
51,391,0
52,10,0
53,126,0
54,26,0
55,1923,0
56,782,1906
57,178,844
58,632,1400
59,894,2280
60,937,1836
61,761,2481
62,759,0
63,30,0
64,17,0
65,1154,0
66,12,105
67,48,139
68,56,123
69,29,87
70,177,0
71,264,0
72,331,666
73,588,1179
74,1225,2843
75,90,0
76,2939,3919
77,2446,3589
78,4,32
79,81,529
80,236,753
81,135,582
82,151,0
83,89,585
84,101,0
85,498,0
86,141,0
87,522,1459
88,55,0
89,43,0
90,311,1094
91,3,21
92,9,29
93,560,0
94,2107,0
95,290,0
96,27,0
97,1013,0
98,5154,10099
99,1167,0
100,4582,6970
101,916,2522
102,250,817
103,674,0
104,19,0
105,104,0
106,168,0
107,453,1416
108,18,0
109,111,0
110,424,1190
111,15,0
112,622,1414
113,49,0
114,237,776
115,6,0
116,677,0
117,27,0
118,55,0
119,378,1738
120,1337,0
121,507,1253
122,289,847
123,246,866
124,755,2378
125,250,606
126,237,810
127,5,28
128,3,18
129,2,15
130,4,22
131,137,605
132,131,489
133,25,159
134,3,23
135,3,33
136,366,1186
137,1883,0
138,217,761
139,1331,0
140,211,770
141,56,0
142,255,0
143,33,0
144,181,673
145,81,0
146,1034,3185
147,528,0
148,58,407
149,407,0
150,283,948
151,20,0
152,290,1540
153,235,663
154,184,544
155,247,1475
156,207,810
157,270,789
158,376,1162
159,113,285
160,739,1331
161,186,651
162,678,0
163,345,662
164,100,0
165,16,0
166,65,0
167,392,814
168,126,476
169,260,838
170,35,0
171,32,0
172,121,406
173,573,0
174,245,731
175,31,0
176,113,0
177,804,1907
178,121,534
179,203,610
180,13,0
181,2899,0
182,89,321
183,161,383
184,21,0
185,143,681
186,159,619
187,192,0
188,2314,0
189,433,1023
190,39,156
191,470,1114
192,845,0
193,287,891
194,18,0
195,81,0
196,293,0
197,671,1945
0,207,364
1,302,482
2,312,563
3,7,0
4,98,340
5,80,257
6,146,421
7,86,306
8,32,0
9,60,0
10,168,0
11,128,550
12,256,907
13,306,998
14,126,0
15,94,318
16,94,307
17,123,281
18,71,325
19,539,1315
20,46,103
21,303,814
22,33,156
23,1,33
24,14,0
25,45,0
26,170,539
27,926,0
28,93,0
29,530,1626
30,223,527
31,308,856
32,169,0
33,450,878
34,895,2354
35,5354,9781
36,26,190
37,69,182
38,112,515
39,119,585
40,456,846
41,218,648
42,271,873
43,95,337
44,357,906
45,125,708
46,62,340
47,533,1374
48,147,0
49,394,1762
50,285,1109
51,11,68
52,11,34
53,692,1922
54,595,1598
55,248,1164
56,129,367
57,97,356
58,97,324
59,96,203
60,87,233
61,86,231
62,101,328
63,131,321
64,1485,0
65,103,241
66,1504,3460
67,40,210
68,254,599
69,650,1497
70,156,427
71,276,719
72,936,2085
73,1796,2773
74,380,1399
75,43,0
76,37,0
77,256,1278
78,32,0
79,428,0
80,98,0
81,164,506
82,62,224
83,229,574
84,73,226
85,474,1656
86,47,198
87,145,856
88,95,225
89,36,0
90,147,580
91,22,0
92,217,764
93,279,1245
94,81,307
95,5,34
96,118,471
97,144,378
98,1260,0
99,3201,4366
100,243,0
101,455,0
102,11151,0
103,1934,4752
104,244,1070
105,435,1907
106,83,449
107,135,425
108,2,18
109,37,0
110,15,123
111,233,456
112,75,187
113,104,254
114,106,195
115,140,290
116,97,226
117,90,201
118,119,286
119,80,348
120,5962,8098
121,98,311
122,16,0
123,200,912
124,148,454
125,127,486
126,17,0
127,22,0
128,216,1122
129,3,23
130,2,17
131,121,873
132,4836,0
133,519,1677
134,457,1477
135,31,292
136,827,2514
137,80,309
138,12,0
139,16,0
140,587,2109
141,4193,0
142,643,1349
143,153,359
144,112,0
145,106,394
146,3226,6938
147,784,2663
148,359,770
149,24,0
150,769,2191
151,160,537
152,467,1322
153,500,1437
154,11426,15380
155,121,615
156,36,322
157,1451,3521
158,158,576
159,62,421
160,84,339
161,1963,2538
162,544,1664
163,1264,4188
164,407,1358
165,150,745
166,292,1469
167,29,0
168,172,0
169,33,0
170,46,172
171,40,0
172,153,500
173,125,476
174,33,0
175,13,0
176,58,178
177,45,131
178,297,552
179,73,202
180,188,1020
181,1244,0
182,2720,0
183,7183,6013
184,1929,4867
185,102,462
186,221,777
187,195,585
188,346,0
189,2504,0
190,316,0
191,788,1803
192,465,1253
193,493,0
194,28,0
195,148,0
196,103,234
197,626,0
198,110,494
0,293,816
1,32,145
2,456,1468
3,47,347
4,97,541
5,18,0
6,66,220
7,44,199
8,45,373
9,26,0
10,218,801
11,44,296
12,328,506
13,117,638
14,32,339
15,77,228
16,468,1651
17,49,0
18,52,0
19,168,1012
20,43,368
21,1373,2647
22,995,2125
23,71,345
24,29,0
25,766,2158
26,353,861
27,818,2352
28,231,857
29,33,266
30,189,516
31,74,385
32,174,726
33,589,2301
34,101,424
35,1807,3316
36,48,161
37,1833,3470
38,401,0
39,1456,0
40,629,0
41,35,0
42,67,0
43,1318,0
44,1680,0
45,2595,4983
46,69,0
47,58,0
48,674,0
49,23,0
50,445,1033
51,44,0
52,120,0
53,123,0
54,226,493
55,98,371
56,93,203
57,72,146
58,51,142
59,74,134
60,55,131
61,946,1855
62,231,650
63,224,625
64,1551,3109
65,382,1800
66,2158,3972
67,4584,6606
68,456,1605
69,4890,8957
70,591,2076
71,410,0
72,3178,5912
73,290,826
74,731,2334
75,103,583
76,218,949
77,1423,3199
78,414,0
79,353,1005
80,137,0
81,168,713
82,22,104
83,163,703
84,700,0
85,5358,0
86,745,3289
87,187,0
88,615,2259
89,19,0
90,288,0
91,106,0
92,141,643
93,42986,49758
94,70,164
95,2136,3491
96,925,2970
97,741,1978
98,241,936
99,645,1362
100,790,1614
101,517,1472
102,859,1971
103,132,358
104,235,612
105,2838,4104
106,378,0
107,116,745
108,911,1728
109,122,659
110,333,988
111,2102,5161
112,91,0
113,120,0
114,58,0
115,836,2649
116,246,0
117,117,0
118,552,0
119,965,0
120,1654,3727
121,1676,4270
122,267,1270
123,515,1793
124,245,1497
125,323,1296
126,32,171
127,311,859
128,4619,8104
129,1760,3049
130,948,2274
131,5518,9921
132,24445,32999
133,3934,0
134,7002,9828
135,1496,0
136,733,2155
137,176,0
138,212,0
139,279,0
140,1058,0
141,511,1534
142,4198,6375
143,609,1525
144,1709,2551
145,1509,2178
146,2512,3126
147,1951,2767
148,5576,6322
149,2103,2738
150,878,2022
151,311,974
152,892,2015
153,58,358
154,122,884
155,36,313
156,799,2161
157,315,0
158,3951,5410
159,170,0
160,234,1032
161,86,489
162,653,1471
163,5028,9001
164,10,87
165,320,1103
166,239,412
167,5589,6250
168,472,0
169,2772,4100
170,336,1581
171,364,1101
172,619,1897
173,10152,13711
174,2381,0
175,133,0
176,105,0
177,574,0
178,2077,0
179,1983,2449
180,649,0
181,4028,5538
182,1073,1918
183,5185,8834
184,7589,11397
185,788,0
186,6340,6801
187,11431,0
188,22228,29520
189,16117,19994
190,46229,52070
191,7059,9393
192,273,555
193,39,132
194,5190,7466
195,23968,24886
196,6187,8801
197,217,0
198,794,0
199,100,285
0,2521,0
1,1152,0
2,1035,2007
3,1815,0
4,14,72
5,101,0
6,2144,0
7,6370,0
8,5288,7859
9,3171,3640
10,953,0
11,157,1230
12,178,0
13,5728,6001
14,208,0
15,22,95
16,377,1180
17,458,960
18,744,0
19,658,0
20,767,1097
21,40,0
22,27,78
23,291,0
24,791,1689
25,322,759
26,745,0
27,8878,11333
28,5294,0
29,156,277
30,895,2801
31,27,114
32,269,993
33,987,2272
34,1893,0
35,1763,0
36,1458,0
37,1283,0
38,1082,0
39,1188,0
40,868,0
41,663,0
42,595,0
43,745,0
44,643,0
45,784,0
46,1433,0
47,1949,0
48,6023,0
49,9666,0
50,20746,0
51,3114,4942
52,22861,0
53,73454,0
54,90,250
55,2632,0
