,retweet_count,favorite_count
0,8,29
1,2,11
2,4,0
3,4,0
4,3,0
5,10,35
6,3,0
7,9,23
8,6,0
9,4,0
10,5,0
11,7,21
12,5,22
13,10,0
14,6,0
15,10,0
16,3,0
17,7,0
18,7,0
19,7,14
20,11,28
21,7,29
22,16,61
23,3,0
24,4,21
25,3,0
26,6,27
27,5,0
28,4,0
29,5,0
30,28,0
31,4,0
32,9,27
33,4,0
34,4,0
35,0,7
36,6,0
37,11,26
38,11,32
39,3,0
40,5,0
41,3,0
42,8,24
43,4,0
44,13,41
45,15,57
46,6,0
47,13,39
48,17,59
49,9,0
50,5,0
51,0,5
52,4,0
53,12,38
54,11,28
55,105,229
56,9,44
57,5,0
58,13,29
59,12,0
60,11,0
61,5,0
62,4,0
63,9,21
64,1,6
65,5,0
66,7,0
67,11,24
68,8,0
69,7,31
70,5,0
71,5,26
72,6,13
73,4,0
74,11,59
75,4,0
76,12,32
77,5,0
78,3,23
79,10,22
80,7,0
81,9,26
82,9,33
83,12,28
84,5,0
85,10,50
86,4,0
87,12,29
88,10,29
89,7,22
90,6,0
91,6,0
92,5,0
93,7,0
94,18,61
95,10,17
96,0,3
97,103,234
98,0,13
99,4,0
100,0,7
101,2,6
102,12,28
103,0,5
104,4,11
105,6,19
106,5,0
107,6,0
108,3,0
109,4,0
110,4,0
111,7,0
112,7,21
113,11,40
114,3,0
115,3,0
116,4,0
117,1,10
118,3,0
119,14,28
120,15,32
121,5,0
122,13,43
123,4,0
124,12,49
125,8,23
126,6199,0
127,9,27
128,3,0
129,19,54
130,8,24
131,8,18
132,43,0
133,17,52
134,7,24
135,7,19
136,12,24
137,5,0
138,17,56
139,9,0
140,8,0
141,5,0
142,5,22
143,7,31
144,11,37
145,7,0
146,9,0
147,11,35
148,56,110
149,42,72
150,3,0
151,12,32
152,69,139
153,7,0
154,7,0
155,13,37
156,11,0
157,6,0
158,27,118
159,3,0
160,6,0
161,7,0
162,9,28
163,18,45
164,13,39
165,11,0
166,2,25
167,4,0
168,17,43
169,16,40
170,8,22
171,4,0
172,5,0
173,15,31
174,14,0
175,8,0
176,4,0
177,7,11
178,2,0
179,8,29
180,13,44
181,9,22
182,11,40
183,5,0
184,16,65
185,10,32
186,10,43
187,7,34
188,5,0
189,13,44
190,12,0
191,4,0
192,6,0
193,7,29
194,9,24
195,14,28
0,5,0
1,7,26
2,7,20
3,19,0
4,7,0
5,8,0
6,7,27
7,10,34
8,14,34
9,4,0
10,14,34
11,10,33
12,7,28
13,8,24
14,9,30
15,7,25
16,7,27
17,15,45
18,19,49
19,7,0
20,10,0
21,16,33
22,18,59
23,16,41
24,8,27
25,11,28
26,14,18
27,11,32
28,9,22
29,26,137
30,11,0
31,4,0
32,15,35
33,8,25
34,12,29
35,11,22
36,12,29
37,16,36
38,5,0
39,5,0
40,17,52
41,28,100
42,38,93
43,11042,0
44,3,0
45,5,0
46,4,0
47,18,39
48,13,29
49,7,0
50,7,0
51,6,0
52,13,29
53,16,43
54,9,26
55,14,32
56,14,23
57,11,27
58,14,39
59,6,0
60,8,0
61,7,0
62,3,0
63,16,40
64,19,37
65,12,0
66,5,0
67,6,7
68,43,176
69,5,0
70,59,84
71,2,5
72,12,42
73,70,0
74,7,0
75,4,0
76,4,0
77,13,42
