,retweet_count,favorite_count
0,29,90
1,16,78
2,4,52
3,11,42
4,13,13
5,8,44
6,14,77
7,19,67
8,16,53
9,27,103
10,34,144
11,17,88
12,33,146
13,19,59
14,15,66
15,96,318
16,19,71
17,64,156
18,34,109
19,623,1508
20,20,69
21,26,68
22,17,65
23,16,78
24,14,68
25,46,110
26,17,61
27,15,58
28,16,61
29,11,35
30,16,87
31,14,52
32,123,341
33,10,50
34,24,105
35,16,58
36,49,149
37,5,18
38,37,169
39,14,47
40,5,16
41,38,136
42,762,0
43,201,434
44,491,804
45,31,124
46,140,355
47,927,2217
48,372,572
49,97,295
50,22,87
51,20,40
52,16,35
53,11,29
54,8,29
55,9,25
56,11,37
57,9,34
58,8,38
59,19,53
60,13,38
61,12,52
62,49,83
63,13,46
64,20,70
65,20,70
66,18,54
67,11,50
68,13,34
69,9,37
70,15,44
71,16,57
72,19,40
73,2,9
74,29,0
75,12,38
76,14,56
77,14,42
78,13,38
79,13,53
80,19,52
81,21,71
82,18,63
83,14,36
84,28,61
85,6,7
86,26,57
87,12,44
88,3,7
89,12,28
90,24,68
91,14,39
92,17,34
93,1,6
94,7,38
95,13,30
96,9,39
97,6,31
98,10,35
99,8,38
100,5,26
101,6,33
102,0,3
103,6,32
104,9,22
105,5,29
106,5,24
107,11,28
108,6,21
109,2,15
110,7,14
111,8,27
112,10,32
113,5,28
114,33,55
115,6,20
116,26,103
117,8,34
118,8,28
119,10,36
120,14,34
121,19,53
122,8,27
123,5,26
124,7,23
125,10,26
126,8,28
127,7,22
128,8,45
129,9,31
130,32,80
131,10,30
132,17,44
133,16,44
134,14,42
135,19,58
136,12,39
137,16,60
138,7,32
139,2,1
140,13,68
141,20,57
142,12,46
143,18,46
144,13,83
145,22,46
146,12,58
147,8,50
148,10,58
149,10,42
150,7,34
151,11,29
152,7,33
153,17,64
154,11,34
155,11,33
156,8,29
157,13,51
158,7,37
159,11,71
160,9,35
161,14,53
162,8,24
163,8,25
164,8,33
165,12,30
166,13,32
167,11,35
168,16,74
169,13,36
170,24,55
171,21,45
172,17,33
173,45,119
174,24,38
175,8,25
176,18,61
177,25,80
178,99,194
179,37,86
180,9,32
181,14,50
182,12,46
183,1,4
184,8,35
185,11,43
186,9,33
187,8,27
188,10,40
189,10,37
190,17,48
191,19,84
192,18,101
193,23,90
194,14,38
195,14,38
196,10,19
197,15,54
198,7,48
199,23,96
0,25,103
1,5,29
2,15,51
3,10,37
4,44,110
5,0,3
6,41,83
7,10,27
8,5,27
9,16,63
10,12,48
11,11,25
12,13,28
13,15,43
14,17,55
15,17,57
16,12,43
17,13,30
18,15,59
19,15,47
20,11,60
21,14,31
22,11,30
23,28,57
24,12,19
25,8,18
26,6,19
27,8,30
28,25,85
29,19,60
30,9,49
31,13,36
32,52,120
33,11,28
34,15,35
35,14,59
36,53,99
37,7,25
38,9,28
39,5,20
40,19,33
41,12,33
42,8,14
43,40,84
44,10,28
45,5,30
46,4,32
47,10,32
48,12,27
49,9,25
50,13,43
51,10,34
52,7,32
53,66,129
54,13,44
55,10,41
56,7,30
57,12,33
58,18,55
59,9,43
60,26,43
61,9,34
62,4,7
63,20,0
64,28,61
65,6,29
66,9,29
67,10,9
68,12,34
69,11,62
70,1,5
71,17,57
72,15,68
73,12,39
74,15,41
75,8,52
76,9,56
77,23,35
78,13,42
79,11,33
80,10,43
81,28,78
82,9,48
83,23,101
84,64,95
85,12,25
86,18,53
87,18,51
88,13,50
89,19,67
90,9,39
91,8,37
92,15,46
93,9,36
94,27,78
95,17,66
96,7,27
97,10,35
98,9,38
99,9,28
100,8,34
101,5,26
102,15,48
103,7,35
104,8,32
105,13,37
106,9,39
107,10,53
108,8,57
109,17,89
110,7,44
111,18,43
112,10,22
113,5,20
114,1,3
115,10,35
116,9,40
117,12,23
118,13,41
119,14,35
120,18,48
121,8,35
122,9,50
123,7,35
124,11,24
125,11,46
126,9,27
127,7,33
128,6,23
129,9,38
130,5,20
131,7,32
132,10,23
133,9,46
134,18,55
135,19,42
136,10,29
137,20,60
138,7,39
139,17,45
140,10,36
141,14,39
142,17,54
143,12,41
144,15,39
145,16,44
146,14,50
147,7,36
148,12,36
149,18,57
150,15,45
151,10,38
152,15,39
153,7,43
154,7,30
155,6,31
156,13,27
157,47,88
158,6,45
159,6,24
160,7,52
161,29,84
162,8,39
163,7,49
164,8,29
165,14,39
166,10,46
167,14,32
168,13,41
169,9,35
170,10,23
171,22,50
172,8,26
173,10,38
174,4,27
175,18,43
176,6,42
177,11,40
178,18,46
179,15,53
180,28,87
181,89,163
182,11,36
183,8,51
184,16,52
185,17,48
186,12,57
187,16,46
188,12,46
189,6,47
190,7,43
191,8,43
192,13,51
193,14,62
194,11,46
195,18,41
196,11,43
197,20,70
198,14,34
199,11,42
0,8,48
1,68,136
2,11,34
3,212,276
4,6,45
5,10,40
6,16,54
7,26,85
8,7,44
9,9,38
10,89,200
11,15,53
12,6,34
13,1,2
14,5,42
15,10,36
16,11,46
17,58,219
18,15,67
19,11,38
20,14,48
21,9,41
22,7,40
23,13,37
24,7,35
25,15,51
26,11,39
27,619,807
28,28,83
29,12,62
30,8,25
31,12,40
32,9,48
33,9,44
34,8,37
35,15,56
36,9,43
37,12,47
38,20,85
39,5,27
40,5,37
41,281,80
42,13,45
43,34,63
44,27,76
45,12,64
46,25,69
47,9,40
48,8,29
49,9,30
50,39,79
51,568,747
52,16,78
53,8,49
54,10,43
55,8,51
56,17,66
57,96,209
58,44,99
59,12,43
60,14,46
61,9,38
62,21,44
63,8,28
64,15,36
65,6,28
66,10,30
67,10,37
68,4,26
69,9,34
70,25,62
71,6,35
72,10,20
73,30,62
74,6,34
75,11,31
76,10,33
77,7,33
78,15,51
79,11,65
80,7,38
81,17,45
82,7,40
83,14,31
84,22,64
85,8,36
86,11,29
87,14,46
88,526,804
89,10,46
90,17,66
91,8,29
92,13,41
93,14,21
94,15,46
95,8,52
96,6,32
97,8,31
98,13,40
99,18,65
100,6,27
101,9,58
102,15,75
103,21,87
104,20,60
105,11,43
106,10,35
107,16,50
108,9,23
109,6,43
110,11,36
111,4,27
112,4,28
113,6,23
114,6,30
115,6,26
116,12,39
117,803,1062
118,1102,1783
119,10,43
120,18,58
121,9,25
122,24,60
123,17,66
124,8,31
125,12,44
126,14,52
127,12,46
128,13,61
129,7,37
130,9,56
131,15,38
132,58,63
133,14,47
134,16,78
135,9,37
136,9,25
137,13,46
138,62,105
139,21,51
140,11,44
141,20,47
142,11,42
143,16,39
144,6,28
145,22,54
146,11,41
147,86,116
148,14,32
149,9,47
150,13,52
151,42,132
152,173,386
153,325,524
154,5,39
155,15,66
156,20,51
157,15,34
158,15,48
159,7,39
160,6,30
161,8,33
162,11,53
163,5,30
164,22,64
165,10,43
166,13,25
167,6,31
168,6,33
169,18,39
170,25,50
171,16,48
172,11,37
173,10,43
174,13,38
175,11,37
176,5,31
177,7,43
178,8,33
179,21,55
180,8,32
181,23,62
182,15,73
183,21,70
184,15,47
185,16,55
186,8,24
187,10,26
188,15,49
189,59,162
190,47,97
191,13,36
192,7,37
193,8,40
194,234,438
195,18,36
196,14,52
197,15,63
198,40,90
199,16,61
0,47,168
1,11,35
2,8,28
3,17,59
4,17,38
5,17,83
6,18,48
7,23,59
8,13,66
9,18,59
10,19,56
11,16,65
12,13,39
13,8,66
14,33,89
15,23,50
16,28,35
17,66,129
18,23,47
19,22,74
20,18,60
21,11,43
22,14,61
23,13,82
24,12,45
25,12,40
26,7,31
27,10,29
28,14,34
29,14,34
30,16,44
31,12,27
32,19,31
33,14,39
34,16,39
35,18,49
36,16,43
37,11,32
38,5,36
39,8,37
40,18,72
41,10,45
42,10,46
43,4,22
44,11,57
45,5,12
46,23,73
47,9,66
48,19,74
49,12,42
50,12,35
51,18,49
52,37,72
53,25,52
54,24,64
55,30,79
56,29,87
57,21,53
58,25,65
59,12,41
60,24,76
61,25,47
62,19,43
63,28,71
64,13,41
65,36,84
66,15,43
67,30,61
68,33,61
69,18,48
70,26,74
71,21,64
72,11,37
73,8,41
74,11,49
75,21,62
76,11,39
77,14,36
78,11,30
79,8,31
80,14,39
81,7,28
82,7,23
83,13,33
84,11,52
85,12,40
86,11,31
87,13,30
88,7,42
89,10,36
90,16,56
91,44,85
92,9,28
93,8,27
94,35,95
95,13,43
96,12,39
97,17,62
98,17,28
99,12,44
100,20,53
101,14,41
102,13,38
103,12,30
104,31,82
105,18,43
106,17,54
107,18,73
108,14,61
109,14,29
110,11,40
111,12,29
112,15,48
113,12,52
114,13,40
115,10,29
116,8,27
117,14,52
118,21,73
119,7,17
120,10,22
121,12,58
122,14,51
123,9,37
124,6,21
125,6,16
126,17,53
127,12,28
128,8,38
129,10,54
130,10,40
131,12,65
132,9,61
133,6,53
134,8,44
135,20,68
136,10,44
137,51,87
138,11,47
139,24,120
140,9,22
141,8,29
142,27,95
143,8,24
144,5,18
145,8,40
146,8,30
147,7,35
148,6,31
149,5,31
150,11,46
151,56,115
152,22,67
153,21,49
154,8,33
155,18,40
156,9,33
157,11,45
158,7,37
159,11,52
160,20,50
161,10,37
162,10,33
163,13,41
164,14,85
165,15,37
166,9,30
167,12,24
168,7,27
169,9,38
170,21,37
171,11,29
172,16,37
173,11,46
174,7,51
175,9,41
176,19,81
177,12,27
178,12,34
179,34,63
180,126,185
181,10,49
182,13,49
183,10,35
184,4,6
185,5,34
186,5,39
187,16,47
188,10,31
189,15,44
190,14,31
191,12,30
192,16,45
193,12,35
194,13,28
195,16,38
196,16,29
197,17,59
198,13,53
199,20,36
0,8,49
1,2,7
2,20,72
3,11,43
4,12,40
5,17,61
6,11,48
7,12,44
8,13,44
9,10,41
10,15,49
11,14,49
12,21,57
13,14,46
14,13,50
15,10,46
16,18,40
17,48,107
18,17,53
19,116,191
20,11,33
21,14,50
22,16,54
23,9,33
24,1310,1275
25,127,203
26,35,83
27,16,38
28,25,67
29,18,37
30,17,51
31,63,163
32,19,77
33,57,147
34,14,40
35,1631,1407
36,28,82
37,26,69
38,20,61
39,31,113
40,17,67
41,8,15
42,26,90
43,14,34
44,57,100
45,20,88
46,28,66
47,51,106
48,72,179
49,46,144
50,47,118
51,38,99
52,21,66
53,26,73
54,37,89
55,15,51
56,13,48
57,20,81
58,20,63
59,141,284
60,20,71
61,20,84
62,14,80
63,33,87
64,31,82
65,16,81
66,42,75
67,16,62
68,9,47
69,15,51
70,55,277
71,141,0
72,68,0
73,118,0
74,406,0
75,138,195
76,223,251
77,17,62
