,retweet_count,favorite_count
0,0,3
1,1,4
2,10,0
3,380,0
4,1,0
5,1,0
6,121,0
7,2,0
8,4,0
9,174,0
10,725,0
11,348,0
12,434,0
13,8,0
14,370,0
15,43,0
16,174,0
17,338,0
18,102,0
19,14,0
20,33,0
21,37,0
22,153,0
23,18,0
24,91,0
25,8,0
26,17,0
27,10,0
28,27,0
29,34,0
30,27,0
31,7,0
32,10,0
33,10,0
34,457,0
35,17,0
36,31,0
37,49,0
38,22,0
39,34,0
40,4,0
41,144,0
42,21,0
43,727,0
44,11,0
45,17,0
46,27,0
47,77,0
48,28,0
49,4,0
50,27,0
51,6,0
52,10,0
53,12,0
54,4,0
55,19,0
56,5,0
57,5,0
58,2,0
59,2,0
60,32,0
61,9,0
62,8,0
63,27,0
64,4,0
65,4,0
66,12,0
67,12,0
68,45,0
69,15,0
70,4,0
71,5,0
72,4,0
73,1,0
74,16,0
75,25,0
76,1,0
77,0,2
78,0,0
79,2,1
80,0,5
81,1,7
82,1,11
83,0,0
84,1,1
85,1,0
86,3,1
87,0,0
88,1,0
89,2,1
90,0,0
91,1,0
92,0,1
93,0,0
94,1,0
95,1,0
96,0,0
97,0,1
98,0,0
99,0,0
100,0,0
101,0,0
102,3,0
103,0,0
104,0,4
105,0,2
106,0,1
107,0,0
108,1,0
109,0,0
110,0,0
111,0,0
112,0,0
113,13,0
114,6,0
115,8,0
116,2,0
117,12,0
118,2,0
119,1,0
120,2028,0
121,1,0
122,2702,0
123,33,0
124,2,0
125,14,0
126,21,0
127,113,0
128,5,0
129,4,0
130,2,0
131,4,0
132,4,0
133,0,0
134,0,0
135,3,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,1,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,1
150,13,0
151,43,0
152,0,0
153,0,0
154,0,0
155,0,0
156,718,0
157,0,0
158,1,1
159,0,0
160,1,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,1,0
168,1,1
169,0,0
170,0,0
171,0,0
172,1,1
173,1,0
174,33060,0
175,0,0
176,20,0
177,13,0
178,16,0
179,47,0
180,15,0
181,1,0
182,48,0
183,1,0
184,0,0
185,3,0
186,0,0
187,0,0
188,1,0
189,1,0
190,1,0
191,0,0
192,0,0
193,0,0
194,0,0
195,390,0
196,0,0
0,0,0
1,0,0
2,1,0
3,1,0
4,0,0
5,1,0
6,0,0
7,1,5
8,1,1
9,0,0
10,0,0
11,0,0
12,1,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,3,0
19,0,0
20,1762,0
21,1,0
22,0,0
23,0,0
24,0,0
25,0,0
26,110,0
27,1,0
28,18368,0
29,0,0
30,0,0
31,12949,0
32,1218,0
33,78366,0
34,2,2
35,1,0
36,0,0
37,0,0
38,215,0
39,554,0
40,1,1
41,1,0
42,1676,0
43,0,0
44,73,0
45,1,0
46,2,0
47,48,0
48,0,0
49,1,0
50,0,0
51,0,1
52,0,0
53,0,0
54,0,0
55,1,0
56,2,0
57,0,2
58,0,0
59,0,0
60,1,0
61,1,0
62,4,0
63,0,0
64,1,0
65,0,0
