,retweet_count,favorite_count
0,111,729
1,5,0
2,18,0
3,10,0
4,2,0
5,377,1157
6,321,1154
7,55,0
8,25911,119099
9,89,0
10,54,0
11,64,0
12,172,1028
13,175,639
14,58,0
15,107,0
16,157,1151
17,145,734
18,4891,20356
19,324,1597
20,190,1116
21,913,3474
22,104,0
23,391,0
24,39,0
25,47,0
26,60,0
27,187,0
28,54,0
29,28,0
30,48,0
31,1031,3715
32,283,0
33,115,0
34,381,0
35,288,0
36,127,0
37,283,0
38,259,878
39,3082,15833
40,480,1782
41,61,0
42,102,0
43,95,0
44,105,0
45,69,0
46,24,0
47,29,0
48,94,0
49,581,1906
50,1487,8932
51,65,0
52,83,0
53,31,0
54,36,0
55,127,0
56,49,0
57,60,0
58,102,0
59,41,0
60,35,0
61,36,0
62,49,0
63,44,0
64,31,0
65,55,0
66,34,0
67,42,0
68,35,0
69,30,0
70,32,0
71,37,0
72,26,0
73,33,0
74,29,0
75,29,0
76,27,0
77,25,0
78,35,0
79,13,0
80,26,0
81,14,0
82,12,0
83,67,0
84,179,1089
85,26,24
86,45,0
87,192,0
88,21,0
89,20,0
90,17,0
91,26,0
92,16,0
93,15,0
94,14,0
95,16,0
96,39,0
97,23,0
98,36,0
99,20,0
100,18,0
101,12,0
102,22,0
103,11,0
104,15,0
105,17,0
106,14,0
107,22,0
108,123,0
109,42,0
110,33,0
111,24,0
112,32,0
113,21,0
114,27,0
115,40,0
116,1046,3352
117,512,2171
118,96,0
119,85,0
120,47,0
121,25,0
122,21,0
123,27,0
124,28,0
125,20,0
126,25,0
127,68,0
128,36,0
129,25,0
130,23,0
131,21,0
132,63,0
133,25,0
134,11,0
135,14,0
136,32,0
137,39,0
138,79,0
139,35,0
140,17,0
141,17,0
142,54,0
143,19,0
144,250,0
145,25,0
146,38,0
147,27,0
148,19,0
149,321,0
150,55,0
151,90,0
152,3383,6187
153,33,0
154,106,0
155,30,0
156,25,0
157,19,0
158,24,0
159,18,0
160,25,0
161,20,0
162,15,0
163,32,0
164,13,0
165,20,0
166,15,0
167,41,0
168,31,0
169,45,0
170,33,0
171,27,0
172,15,0
173,14,0
174,12,0
175,23,0
176,13,0
177,17,0
178,37,0
179,31,0
180,20,0
181,16,0
182,51,0
183,21,0
184,39,0
185,25,0
186,931,2703
187,3116,6652
188,532,1630
189,289,1259
190,404,1130
191,83,674
192,139,1344
193,340,1379
194,223,1462
195,427,2998
196,4369,17352
197,148,1137
198,222,1424
0,281,1584
1,285,1725
2,424,2347
3,98,716
4,13805,32302
5,618,0
6,795,4133
7,1821,5820
8,1135,6172
9,1283,8732
10,387,1338
11,139,1093
12,115,965
13,146,0
14,465,0
15,89,0
16,184,0
17,1157,3431
18,165,886
19,117,747
20,212,1271
21,4151,20498
22,201,0
23,184,0
24,88,0
25,303,1994
26,1343,0
27,41,0
28,24,0
29,33,0
30,43,0
31,15,0
32,33,0
33,21,0
34,12,0
35,34,0
36,45,0
37,27,0
38,20,0
39,36,0
40,32,0
41,29,0
42,13,0
43,21,0
44,1343,3712
45,56,0
46,82,0
47,26,0
48,3014,14441
49,2678,15625
50,297,1636
51,387,0
52,5299,17661
53,848,5055
54,608,4684
55,449,0
56,76,0
57,8148,15119
58,298,969
59,24479,52493
60,360,1774
61,52106,124025
62,934,3521
63,4257,11615
64,2100,6628
65,1668,0
66,452,0
67,2600,0
68,2854,16296
69,702,2210
70,518,3838
71,905,3596
72,95,624
73,73,505
74,174,1007
75,101,683
76,93,583
77,130,877
78,64,450
79,138,817
80,222,1377
81,752,2882
82,1119,3910
83,581,3146
84,93,797
85,48,0
86,454,2193
87,128,951
88,408,0
89,45,0
90,175,0
91,503,3061
92,146,954
93,590,1661
94,150,994
95,366,2227
96,693,3303
97,2474,13704
98,1133,4527
99,174,0
100,109,0
101,289,0
102,562,0
103,2456,15704
104,2315,21777
105,632,2591
106,307,1287
107,350,1230
108,339,1710
109,631,3278
110,2529,9807
111,486,2496
112,489,1762
113,2301,0
114,103,0
115,62,0
116,75,0
117,160,0
118,79,0
119,46,0
120,120,0
121,79,0
122,77,0
123,41,49
124,28,35
125,13,34
126,29,55
127,174,0
128,9,31
129,2301,4607
130,1687,8455
131,7613,40106
132,5276,15733
133,1099,6045
134,1519,8275
135,148,1034
136,129,0
137,64,0
138,835,0
139,3844,13909
140,49,0
141,92,0
142,46,0
143,75,0
144,14,35
145,96,0
146,51,0
147,65,0
148,364,1833
149,792,4019
150,541,0
151,155,0
152,330,0
153,1176,5967
154,263,0
155,1192,7899
156,62552,116448
157,4732,12593
158,584,3433
159,91,0
160,178,0
161,625,1934
162,115,0
163,464,2278
164,194,0
165,930,4319
166,1985,7449
167,161,0
168,90588,248263
169,112,0
170,602,2401
171,196,0
172,1585,6074
173,219,0
174,1743,4349
175,3231,9249
176,504,0
177,284,0
178,133,0
179,192,0
180,4178,9941
181,728,3458
182,181,0
183,94,0
